F0,F1,Class
26.0,14.0,1.0,1.0
47.0,10.0,1.0,0.0
43.0,10.0,1.0,0.0
41.0,5.0,1.0,0.0
41.0,10.0,1.0,1.0
47.0,10.0,1.0,0.0
26.0,19.0,1.0,1.0
41.0,5.0,1.0,0.0
25.0,11.0,1.0,1.0
59.0,6.0,1.0,0.0
48.0,8.0,1.0,0.0
45.0,10.0,1.0,1.0
35.0,10.0,1.0,1.0
52.0,5.0,1.0,0.0
32.0,21.0,1.0,1.0
40.0,16.0,1.0,1.0
43.0,15.0,1.0,1.0
43.0,5.0,1.0,0.0
39.0,12.0,1.0,1.0
40.0,9.0,1.0,0.0
42.0,12.0,1.0,1.0
35.0,12.0,1.0,0.0
46.0,6.0,1.0,0.0
45.0,23.0,1.0,1.0
46.0,16.0,1.0,1.0
39.0,7.0,1.0,0.0
52.0,10.0,1.0,0.0
45.0,2.0,1.0,0.0
64.0,8.0,1.0,0.0
38.0,27.0,0.0,1.0
33.0,17.0,1.0,1.0
45.0,3.0,1.0,0.0
25.0,17.0,1.0,1.0
42.0,9.0,1.0,0.0
32.0,13.0,1.0,1.0
43.0,11.0,1.0,0.0
51.0,3.0,1.0,0.0
37.0,16.0,0.0,1.0
34.0,16.0,1.0,1.0
32.0,7.0,1.0,0.0
36.0,17.0,0.0,1.0
39.0,18.0,1.0,1.0
31.0,8.0,1.0,0.0
44.0,9.0,1.0,0.0
35.0,15.0,1.0,1.0
39.0,15.0,1.0,1.0
34.0,15.0,1.0,1.0
40.0,8.0,1.0,0.0
50.0,7.0,1.0,0.0
38.0,15.0,1.0,1.0
44.0,21.0,1.0,1.0
33.0,11.0,1.0,1.0
30.0,25.0,0.0,1.0
29.0,16.0,0.0,1.0
30.0,13.0,1.0,1.0
23.0,19.0,0.0,1.0
42.0,12.0,1.0,1.0
43.0,13.0,1.0,0.0
38.0,14.0,1.0,1.0
42.0,9.0,1.0,1.0
37.0,8.0,1.0,0.0
45.0,6.0,1.0,0.0
53.0,2.0,1.0,0.0
44.0,7.0,1.0,0.0
39.0,16.0,1.0,1.0
43.0,4.0,1.0,0.0
56.0,3.0,1.0,0.0
30.0,7.0,1.0,0.0
42.0,5.0,1.0,0.0
35.0,21.0,0.0,1.0
38.0,3.0,1.0,0.0
39.0,15.0,1.0,1.0
45.0,12.0,1.0,1.0
41.0,5.0,1.0,0.0
49.0,10.0,1.0,0.0
34.0,11.0,1.0,0.0
34.0,9.0,1.0,1.0
33.0,18.0,1.0,1.0
40.0,8.0,1.0,0.0
44.0,5.0,1.0,0.0
42.0,15.0,1.0,1.0
46.0,4.0,1.0,0.0
28.0,25.0,0.0,1.0
40.0,4.0,1.0,0.0
38.0,7.0,1.0,0.0
48.0,7.0,1.0,0.0
40.0,9.0,1.0,0.0
34.0,13.0,1.0,1.0
38.0,11.0,1.0,1.0
45.0,19.0,1.0,1.0
50.0,7.0,1.0,0.0
34.0,21.0,1.0,1.0
31.0,13.0,1.0,1.0
44.0,10.0,1.0,0.0
37.0,7.0,1.0,0.0
47.0,12.0,1.0,1.0
39.0,13.0,1.0,1.0
65.0,6.0,1.0,0.0
51.0,6.0,1.0,1.0
33.0,13.0,1.0,1.0
50.0,4.0,1.0,0.0
27.0,7.0,1.0,0.0
44.0,12.0,1.0,0.0
35.0,4.0,1.0,0.0
25.0,11.0,1.0,1.0
37.0,11.0,1.0,1.0
25.0,26.0,0.0,1.0
35.0,10.0,1.0,1.0
23.0,13.0,0.0,1.0
34.0,18.0,1.0,1.0
34.0,16.0,1.0,1.0
37.0,13.0,1.0,1.0
45.0,12.0,1.0,1.0
39.0,11.0,1.0,1.0
49.0,10.0,1.0,0.0
44.0,9.0,1.0,0.0
24.0,13.0,1.0,1.0
35.0,3.0,1.0,0.0
32.0,25.0,0.0,1.0
35.0,10.0,1.0,1.0
29.0,15.0,1.0,1.0
54.0,6.0,1.0,0.0
42.0,13.0,1.0,1.0
38.0,17.0,1.0,1.0
36.0,8.0,1.0,0.0
47.0,6.0,1.0,0.0
34.0,2.0,1.0,0.0
29.0,12.0,1.0,1.0
49.0,8.0,1.0,0.0
45.0,20.0,1.0,1.0
38.0,5.0,1.0,0.0
40.0,14.0,1.0,1.0
38.0,11.0,1.0,1.0
38.0,23.0,1.0,1.0
42.0,6.0,1.0,0.0
45.0,14.0,1.0,1.0
34.0,12.0,1.0,1.0
34.0,20.0,1.0,1.0
34.0,14.0,1.0,1.0
47.0,12.0,1.0,1.0
40.0,19.0,1.0,1.0
43.0,6.0,1.0,0.0
34.0,20.0,1.0,1.0
29.0,13.0,1.0,1.0
36.0,6.0,1.0,0.0
41.0,6.0,1.0,0.0
41.0,3.0,1.0,0.0
47.0,10.0,1.0,0.0
32.0,13.0,1.0,1.0
36.0,7.0,1.0,1.0
36.0,14.0,1.0,1.0
46.0,14.0,1.0,0.0
64.0,4.0,1.0,0.0
30.0,11.0,1.0,1.0
36.0,4.0,1.0,0.0
40.0,12.0,1.0,1.0
56.0,7.0,1.0,0.0
34.0,6.0,1.0,0.0
41.0,5.0,1.0,0.0
33.0,16.0,1.0,1.0
41.0,14.0,1.0,1.0
48.0,5.0,1.0,0.0
46.0,6.0,1.0,0.0
42.0,12.0,1.0,1.0
31.0,17.0,1.0,1.0
27.0,15.0,1.0,1.0
40.0,8.0,1.0,0.0
35.0,1.0,1.0,0.0
45.0,13.0,1.0,1.0
45.0,7.0,1.0,0.0
48.0,6.0,1.0,0.0
43.0,8.0,1.0,0.0
