q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13
19;1;45;1;-10;-1;-7;-7
49;4;41;39;-12;-10;-5;-4
19;42;36;0;-10;-3;-2;-4
39;43;6;49;-1;-1;-1;-3
23;0;3;7;0;-14;-5;-9
4;17;11;40;-17;-1;-2;-1
15;21;33;1;-19;-15;-13;-19
2;38;10;14;-3;-4;0;-2
43;38;19;9;-7;-4;-12;-12
29;17;30;3;-10;-14;-11;-18
23;5;44;23;-1;-7;-3;-7
34;32;31;26;-19;-18;-20;-3
17;17;33;28;-10;-13;-3;-6
41;41;47;32;-19;-18;-17;-10
48;30;33;9;-4;-14;-7;-2
27;26;38;21;-8;-16;-18;-7
44;24;34;13;0;-2;-8;-2
3;10;48;24;-20;-5;-6;0
24;0;29;32;-16;-19;-15;-4
27;40;35;47;-9;-4;-13;-7
35;1;29;17;-4;-14;-3;-6
5;25;1;15;-8;-2;-17;-3
41;8;10;3;-14;-12;0;-11
29;30;26;19;-16;-14;-14;-2
11;3;13;44;-2;-20;-18;-18
42;13;2;33;-10;-20;-6;-10
23;7;39;27;-15;-10;-9;-16
7;10;36;7;-19;-18;-9;-17
40;35;38;23;-18;-6;-18;-16
44;2;43;45;-1;-11;-12;-11
14;17;31;10;-10;-14;-5;-15
1;39;22;11;-7;-7;-10;-4
46;21;30;28;-2;-8;-7;-15
5;2;6;23;-18;-8;-4;-20
28;47;34;27;-19;-15;-11;-20
22;26;49;4;-14;-2;-5;-9
10;39;31;32;-2;-13;-9;-13
31;12;39;25;-1;-9;-8;0
42;18;44;40;-11;-9;-10;-16
23;26;40;6;-5;-2;-2;-16
21;10;13;1;-1;-1;-1;-2
30;5;16;34;-5;-2;-1;-18
2;30;30;21;-16;-12;-15;0
3;43;19;6;-6;-7;-4;-4
0;23;0;27;0;-11;-12;-8
6;30;4;40;-5;-8;-13;-7
32;16;37;30;0;-7;-16;-9
33;29;24;29;-5;-3;-12;-13
40;29;6;48;-15;-19;-6;-2
20;3;10;3;-17;-20;-3;-9
37;28;30;32;-18;-9;-11;-14
34;46;31;37;-10;-11;-18;-14
33;46;1;48;0;0;-6;0
21;34;9;39;-19;-19;-19;-10
19;15;4;18;-15;-10;-2;-7
2;9;38;31;-8;-13;-19;-20
13;23;43;21;-13;-4;-1;-3
13;14;29;41;-7;-2;-18;-14
27;14;14;29;-1;-8;-20;-4
46;42;43;28;-18;0;-12;-6
3;36;31;2;-1;-17;-15;-17
27;36;35;17;-7;-7;0;-9
32;20;39;34;0;-4;-5;-11
21;12;44;26;-1;-6;-7;-9
8;43;16;24;-10;-8;-13;-5
36;27;21;13;-5;-4;-13;-2
44;24;27;37;-3;-18;-5;-16
13;5;31;36;-1;-17;-17;-7
11;26;37;25;-17;-14;-8;-17
14;45;33;13;-18;-5;-6;-8
34;49;17;43;-11;-8;-10;-9
4;31;11;19;0;-17;0;-20
49;49;14;37;-18;-9;-15;-9
13;6;29;24;-4;-17;-15;-15
25;6;34;37;-1;-12;-9;-4
10;3;41;6;-14;-12;-19;-11
1;39;33;8;-4;-3;-10;0
31;5;39;33;-2;-20;-20;-14
16;18;7;11;-6;-7;-2;-14
33;22;21;44;-15;-4;-14;-14
41;44;21;32;-18;-9;-1;0
48;7;12;44;-7;0;-1;-10
33;26;49;26;-17;-2;-2;-18
21;47;5;48;-7;-13;-9;-4
47;20;11;9;-16;-2;-12;-11
31;21;32;31;-10;-6;-5;-9
11;46;46;31;-15;-12;-18;-3
43;45;10;30;-4;-7;-5;-11
10;24;28;45;-10;-18;-20;-16
25;28;18;35;-3;-12;-13;-15
29;3;36;22;-2;-2;-3;-13
21;49;42;10;-12;-16;-13;-11
12;33;4;6;-8;-16;-2;-2
26;26;33;34;-4;-15;0;-20
25;44;7;20;-10;-11;-14;-2
12;33;27;7;-16;-14;-15;-7
34;26;15;17;-10;-3;-14;-2
10;22;4;34;-17;-4;-16;-9
25;3;8;42;-10;-15;-9;-3
36;32;30;18;-14;-3;-11;-18
26;21;8;19;-20;-20;-18;-19
20;12;5;2;-11;-3;-6;-16
22;1;27;3;-11;-12;-1;-14
18;26;21;11;-14;-7;-5;-2
16;48;3;25;-7;-10;-7;-10
33;21;19;34;-11;-19;-9;-12
5;33;6;41;-13;-7;-18;-6
4;15;39;45;-9;-19;-10;-7
41;46;9;26;-18;-5;-9;-9
29;35;21;19;-7;-15;0;-16
36;20;21;7;-5;-2;-18;-8
31;37;23;7;0;-19;-20;-19
45;18;25;24;-7;-14;-18;-4
47;45;37;41;-18;-12;-19;-19
36;22;34;21;-8;-9;-17;-16
23;44;23;38;-16;-5;-6;-15
21;14;42;9;-5;-4;-18;-19
0;2;22;32;-9;-20;-16;-19
48;24;34;19;-8;-11;-3;-5
31;7;44;32;-8;-19;-4;-20
36;13;0;42;-20;-7;-19;-4
12;7;18;30;-8;-7;-5;-20
19;35;3;9;-6;-8;-10;-19
44;43;24;1;-1;-10;-20;-4
5;47;18;31;-18;-12;-12;-10
44;39;9;33;-7;-2;-20;-19
21;7;5;26;-7;-7;-13;-10
19;44;15;27;-7;-12;-17;-15
31;30;9;19;-4;-7;-17;-19
28;25;9;39;-1;-15;-8;-3
40;31;46;41;-8;-20;-18;0
1;27;3;30;-13;-20;-18;-9
37;41;28;4;-3;0;-1;-20
38;32;38;27;-6;-12;-12;-8
25;42;38;38;-15;-14;-7;-14
45;33;31;36;0;-6;-7;-18
12;6;48;38;-10;-2;-18;-3
16;38;1;46;-12;-17;-17;-11
23;23;32;42;-4;-13;-8;-13
49;31;41;8;-14;-15;-17;-12
27;13;13;17;-8;-20;-17;-12
44;45;9;5;-17;-19;-5;-20
45;24;0;34;-14;-20;-3;-18
35;8;42;44;-10;-7;-7;-3
26;22;37;4;-6;0;-20;-17
38;43;21;29;-12;-12;-2;-19
33;23;17;26;-3;-4;-5;-10
23;5;33;45;-17;-17;-17;-15
25;1;48;3;-19;-19;-9;-8
17;1;25;31;0;-18;-7;-16
37;1;32;26;-4;-7;-19;-12
13;11;35;12;-6;0;-15;-15
26;32;0;36;-18;-11;-8;-16
4;13;23;27;-18;-3;-3;-8
12;14;33;37;-2;-14;-20;-2
49;11;25;0;-6;-6;-13;-9
43;2;30;29;-19;-20;-15;-20
21;29;26;42;-20;-15;-5;-6
15;9;6;4;-10;-15;-10;-10
