q0p0;q0p1;q1p0;q1p1;q1p2;s[0, 2];s[0, 3];s[0, 4];s[1, 2];s[1, 3];s[1, 4];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5
0;40;34;4;32;20;-6;18;69;35;59;-6;18;20;35;59;69
10;29;35;23;21;41;20;18;59;42;35;18;20;35;41;42;59
24;12;29;32;37;42;48;51;32;25;38;25;32;38;42;48;51
32;10;42;13;45;57;28;72;39;10;41;10;28;39;41;57;72
42;35;6;14;1;48;37;35;31;32;19;19;31;32;35;37;48
36;24;13;30;36;38;57;60;35;47;59;35;38;47;57;59;60
46;21;23;27;39;66;58;72;41;46;47;41;46;47;58;66;72
9;31;6;29;47;9;19;36;30;58;61;9;19;30;36;58;61
30;46;47;38;13;75;60;23;73;65;51;23;51;60;65;73;75
4;4;2;14;32;-9;4;18;5;13;21;-9;4;5;13;18;21
27;38;36;5;8;48;21;24;72;33;36;21;24;33;36;48;72
8;16;16;8;10;17;16;6;19;11;7;6;7;11;16;17;19
38;8;34;49;28;64;80;51;25;51;31;25;31;51;51;64;80
25;45;7;19;25;24;43;50;42;46;59;24;42;43;46;50;59
38;30;36;28;28;61;65;51;46;47;41;41;46;47;51;61;65
0;14;43;17;14;28;17;5;57;12;24;5;12;17;24;28;57
18;48;11;46;28;23;55;34;39;87;63;23;34;39;55;63;87
34;33;47;15;24;81;42;38;66;46;51;38;42;46;51;66;81
12;42;14;45;16;26;49;16;56;75;38;16;26;38;49;56;75
37;34;11;3;48;45;30;72;45;28;82;28;30;45;45;72;82
1;28;7;25;49;8;25;41;34;52;73;8;25;34;41;52;73
18;27;27;39;7;35;57;19;40;57;19;19;19;35;40;57;57
38;47;25;40;10;48;60;47;70;74;42;42;47;48;60;70;74
35;8;15;48;22;49;74;54;20;52;19;19;20;49;52;54;74
17;34;35;38;34;40;49;36;49;69;49;36;40;49;49;49;69
38;38;4;9;5;38;29;41;27;46;23;23;27;29;38;41;46
29;1;22;22;43;41;33;61;17;11;43;11;17;33;41;43;61
26;32;31;40;10;50;61;22;60;58;35;22;35;50;58;60;61
4;31;4;14;3;0;3;-8;29;26;22;-8;0;3;22;26;29
23;11;13;21;14;33;26;35;13;15;15;13;15;15;26;33;35
29;8;25;22;39;54;40;61;27;15;31;15;27;31;40;54;61
9;26;33;48;12;22;50;5;50;59;36;5;22;36;50;50;59
16;15;4;46;15;20;49;27;11;48;29;11;20;27;29;48;49
46;25;43;2;13;83;41;46;67;27;34;27;34;41;46;67;83
37;32;21;7;49;39;39;75;46;33;77;33;39;39;46;75;77
45;3;16;28;1;50;64;35;11;28;0;0;11;28;35;50;64
29;1;25;47;33;47;56;52;17;38;26;17;26;38;47;52;56
3;29;23;47;0;12;30;-1;34;69;15;-1;12;15;30;34;69
36;19;13;36;48;35;55;80;14;50;59;14;35;50;55;59;80
17;23;31;31;6;37;46;21;35;34;15;15;21;34;35;37;46
41;29;23;1;24;49;41;65;45;14;34;14;34;41;45;49;65
19;20;42;11;3;43;15;13;60;21;4;4;13;15;21;43;60
42;24;15;16;6;43;52;46;26;38;20;20;26;38;43;46;52
43;12;34;11;0;62;54;42;35;19;-2;-2;19;35;42;54;62
37;26;9;49;27;26;66;50;32;75;39;26;32;39;50;66;75
33;46;12;23;45;36;40;67;54;53;87;36;40;53;54;67;87
49;4;27;12;25;76;48;54;11;0;9;0;9;11;48;54;76
15;36;39;24;28;49;24;23;72;41;61;23;24;41;49;61;72
23;11;12;11;24;21;32;45;20;15;34;15;20;21;32;34;45
26;32;0;30;45;21;43;52;17;48;74;17;21;43;48;52;74
24;28;32;4;37;46;23;49;44;28;65;23;28;44;46;49;65
11;33;9;10;40;12;1;39;40;24;68;1;12;24;39;40;68
31;43;9;22;47;32;47;59;50;56;90;32;47;50;56;59;90
24;9;35;45;46;43;65;55;35;54;49;35;43;49;54;55;65
36;43;45;42;13;70;62;34;72;65;36;34;36;62;65;70;72
27;49;20;4;18;35;31;31;58;53;66;31;31;35;53;58;66
29;32;37;15;33;51;31;54;49;32;56;31;32;49;51;54;56
1;31;42;17;13;42;16;4;53;31;37;4;16;31;37;42;53
11;22;42;6;16;40;10;14;50;10;34;10;10;14;34;40;50
30;28;36;16;41;49;35;51;53;26;57;26;35;49;51;53;57
9;5;6;12;28;12;6;25;-1;14;25;-1;6;12;14;25;25
46;46;17;30;0;59;70;33;44;56;43;33;43;44;56;59;70
33;48;36;48;24;62;72;42;78;91;58;42;58;62;72;78;91
38;31;26;17;7;55;54;44;56;30;26;26;30;44;54;55;56
40;32;13;0;22;42;28;48;38;28;37;28;28;37;38;42;48
10;18;25;22;49;34;22;58;42;34;67;22;34;34;42;58;67
48;5;2;26;47;31;70;94;2;28;52;2;28;31;52;70;94
7;2;35;20;35;33;9;30;28;7;37;7;9;28;30;33;37
39;34;3;40;13;31;64;49;17;65;29;17;29;31;49;64;65
25;6;17;7;48;33;26;65;11;2;52;2;11;26;33;52;65
48;27;45;38;19;86;67;60;69;50;39;39;50;60;67;69;86
31;23;38;24;22;60;50;48;42;44;34;34;42;44;48;50;60
26;31;40;33;46;59;58;65;57;51;75;51;57;58;59;65;75
36;25;18;11;26;54;32;58;39;20;34;20;32;34;39;54;58
21;17;2;11;38;12;27;44;10;20;54;10;12;20;27;44;54
34;11;8;12;2;26;30;20;16;23;11;11;16;20;23;26;30
30;40;18;39;7;37;61;35;43;69;37;35;37;37;43;61;69
10;16;15;34;32;19;38;39;22;31;36;19;22;31;36;38;39
15;44;45;39;32;45;49;35;86;65;70;35;45;49;65;70;86
38;47;45;42;2;73;60;21;75;75;32;21;32;60;73;75;75
41;34;30;24;29;54;45;67;47;43;61;43;45;47;54;61;67
45;10;35;45;2;79;88;47;36;40;-8;-8;36;40;47;79;88
19;27;35;7;22;50;8;29;56;20;43;8;20;29;43;50;56
20;47;43;17;24;53;18;34;76;53;63;18;34;53;53;63;76
32;45;10;7;32;25;19;48;55;48;76;19;25;48;48;55;76
47;38;0;45;30;45;74;62;27;66;55;27;45;55;62;66;74
34;2;23;40;21;57;55;39;12;29;9;9;12;29;39;55;57
31;17;2;45;15;16;63;30;16;48;17;16;16;17;30;48;63
34;13;19;38;4;34;64;34;15;46;10;10;15;34;34;46;64
17;2;44;47;12;42;50;26;32;41;3;3;26;32;41;42;50
33;5;16;12;25;42;32;54;7;1;14;1;7;14;32;42;54
23;27;6;17;31;12;34;51;17;32;44;12;17;32;34;44;51
15;3;31;37;21;32;50;27;17;29;8;8;17;27;29;32;50
9;19;27;16;41;31;10;47;27;18;55;10;18;27;31;47;55
40;29;37;49;31;57;80;66;52;59;48;48;52;57;59;66;80
38;19;38;19;20;57;55;58;43;22;38;22;38;43;55;57;58
43;25;5;22;35;35;52;66;29;42;56;29;35;42;52;56;66
49;6;47;41;46;86;79;86;45;29;47;29;45;47;79;86;86
29;2;33;46;6;58;65;25;27;44;-8;-8;25;27;44;58;65
37;48;8;25;35;34;43;72;42;58;82;34;42;43;58;72;82
47;5;27;36;3;56;66;35;31;23;8;8;23;31;35;56;66
18;26;4;9;14;8;19;23;16;17;27;8;16;17;19;23;27
11;46;16;17;49;19;25;51;45;45;86;19;25;45;45;51;86
13;46;18;9;45;30;5;49;62;38;83;5;30;38;49;62;83
13;29;3;9;47;-1;17;40;28;28;64;-1;17;28;28;40;64
0;1;48;31;22;30;31;9;31;29;18;9;18;29;30;31;31
13;33;33;27;13;42;21;8;48;48;38;8;21;38;42;48;48
1;15;5;8;21;-9;-1;9;15;17;31;-9;-1;9;15;17;31
36;15;14;36;36;33;71;53;22;33;34;22;33;33;34;53;71
23;22;18;26;30;39;38;47;21;39;37;21;37;38;39;39;47
28;34;5;39;21;30;47;35;32;53;36;30;32;35;36;47;53
22;48;43;40;6;64;43;28;75;70;34;28;34;43;64;70;75
4;26;26;33;15;23;23;13;34;50;25;13;23;23;25;34;50
24;44;17;39;37;37;60;45;49;82;71;37;45;49;60;71;82
26;3;16;3;42;25;17;64;-1;-2;33;-2;-1;17;25;33;64
37;15;24;31;19;61;50;42;37;31;31;31;31;37;42;50;61
37;46;22;4;15;48;28;50;51;35;47;28;35;47;48;50;51
0;2;18;7;33;4;7;15;7;-9;27;-9;4;7;7;15;27
49;28;5;9;13;52;40;61;16;21;40;16;21;40;40;52;61
3;17;27;24;32;25;11;32;43;28;43;11;25;28;32;43;43
5;7;0;33;35;-5;22;37;1;25;22;-5;1;22;22;25;37
38;8;25;16;45;49;39;63;33;17;53;17;33;39;49;53;63
