q0p0;q0p1;q0p2;q1p0;q1p1;q1p2;s[0, 3];s[0, 4];s[0, 5];s[1, 3];s[1, 4];s[1, 5];s[2, 3];s[2, 4];s[2, 5];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8
14;46;5;27;36;5;27;46;8;69;64;51;29;37;8;8;8;27;29;37;46;51;64;69
48;49;29;2;35;17;37;80;53;47;66;64;16;46;34;16;34;37;46;47;53;64;66;80
48;25;44;14;4;6;51;52;42;34;10;31;38;46;37;10;31;34;37;38;42;46;51;52
38;12;45;7;19;1;26;42;29;9;13;11;44;57;45;9;11;13;26;29;42;44;45;57
43;19;43;48;7;2;75;44;35;48;12;14;86;44;28;12;14;28;35;44;44;48;75;86
15;8;20;5;36;9;9;42;21;3;32;6;21;46;18;3;6;9;18;21;21;32;42;46
1;13;36;21;3;47;20;-15;29;20;1;55;40;26;72;-15;1;20;20;26;29;40;55;72
31;26;19;40;26;7;52;42;33;48;36;14;44;31;14;14;14;31;33;36;42;44;48;52
47;15;28;28;34;6;73;80;52;24;40;6;52;44;24;6;24;24;40;44;52;52;73;80
35;5;43;16;5;42;44;31;62;8;5;33;50;37;78;5;8;31;33;37;44;50;62;78
20;17;7;49;19;27;64;32;39;59;22;41;46;13;20;13;20;22;32;39;41;46;59;64
15;3;20;17;3;14;13;17;9;12;-2;9;22;21;21;-2;9;9;12;13;17;21;21;22
22;21;49;28;23;6;42;30;17;32;31;25;57;55;47;17;25;30;31;32;42;47;55;57
24;45;35;47;27;17;63;51;35;88;64;43;74;51;46;35;43;46;51;51;63;64;74;88
24;15;33;5;13;34;22;27;58;0;15;49;21;43;48;0;15;21;22;27;43;48;49;58
26;30;4;48;47;46;70;69;61;78;77;74;48;51;48;48;48;51;61;69;70;74;77;78
42;3;41;3;41;8;33;74;41;-12;44;9;24;69;44;-12;9;24;33;41;44;44;69;74
49;8;36;44;22;31;74;55;77;45;16;35;69;38;54;16;35;38;45;54;55;69;74;77
47;27;24;32;30;0;66;66;39;51;46;22;54;47;15;15;22;39;46;47;51;54;66;66
23;36;15;47;11;8;59;25;17;66;30;37;50;20;20;17;20;20;25;30;37;50;59;66
42;23;48;40;30;3;66;58;41;50;44;15;72;72;31;15;31;41;44;50;58;66;72;72
26;11;48;10;1;19;33;13;40;2;4;20;52;34;61;2;4;13;20;33;34;40;52;61
32;20;22;25;0;44;40;27;62;39;8;58;40;19;60;8;19;27;39;40;40;58;60;62
20;16;29;14;15;40;29;26;59;11;30;47;42;32;64;11;26;29;30;32;42;47;59;64
43;21;17;30;34;32;58;70;60;33;35;38;37;50;45;33;35;37;38;45;50;58;60;70
38;4;10;12;13;22;49;51;53;-3;-2;25;5;19;13;-3;-2;5;13;19;25;49;51;53
2;15;32;19;12;37;9;10;23;28;12;36;50;25;62;9;10;12;23;25;28;36;50;62
21;23;8;41;15;10;62;34;23;58;25;19;46;8;11;8;11;19;23;25;34;46;58;62
43;9;4;41;15;17;66;57;42;46;18;11;41;5;12;5;11;12;18;41;42;46;57;66
4;47;8;39;38;30;28;26;14;68;84;66;43;39;36;14;26;28;36;39;43;66;68;84
39;23;9;1;35;31;30;61;60;5;39;46;7;25;40;5;7;25;30;39;40;46;60;61
18;47;24;36;9;16;35;22;14;67;56;56;53;24;36;14;22;24;35;36;53;56;56;67
32;36;35;47;37;7;62;51;30;81;71;28;69;64;37;28;30;37;51;62;64;69;71;81
48;13;40;27;7;15;64;46;51;28;10;15;47;33;45;10;15;28;33;45;46;47;51;64
36;20;29;19;29;19;36;65;46;21;42;37;42;52;47;21;36;37;42;42;46;47;52;65
25;19;38;11;47;2;21;54;17;10;52;13;29;85;25;10;13;17;21;25;29;52;54;85
24;44;23;5;32;2;9;54;21;40;61;35;11;47;24;9;11;21;24;35;40;47;54;61
16;12;49;33;26;48;43;29;52;44;23;47;78;65;92;23;29;43;44;47;52;65;78;92
5;29;11;35;17;21;34;13;12;52;45;45;38;18;27;12;13;18;27;34;38;45;45;52
26;14;34;36;3;32;56;15;41;41;13;26;63;33;61;13;15;26;33;41;41;56;61;63
22;0;19;23;48;18;27;60;21;4;30;13;30;57;28;4;13;21;27;28;30;30;57;60
28;25;1;0;30;13;24;38;28;14;36;22;-6;13;6;-6;6;13;14;22;24;28;36;38
19;47;34;23;12;16;24;14;18;70;40;53;39;26;32;14;18;24;26;32;39;40;53;70
29;48;8;15;30;17;37;39;34;44;72;57;5;33;22;5;22;33;34;37;39;44;57;72
33;29;7;36;37;18;69;61;50;47;66;32;40;42;13;13;32;40;42;47;50;61;66;69
11;23;38;16;9;41;9;15;42;34;29;55;54;29;60;9;15;29;29;34;42;54;55;60
32;24;23;0;42;35;17;73;58;13;63;55;23;54;57;13;17;23;54;55;57;58;63;73
0;38;17;16;14;17;8;-2;-3;49;52;41;31;25;34;-3;-2;8;25;31;34;41;49;52
40;1;44;47;44;29;83;71;64;45;26;29;86;80;72;26;29;45;64;71;72;80;83;86
41;3;26;1;42;3;31;78;40;0;31;3;14;64;10;0;3;10;14;31;31;40;64;78
30;44;31;1;38;15;17;62;26;25;74;42;27;59;35;17;25;26;27;35;42;59;62;74
2;47;49;33;30;31;27;27;17;73;58;71;62;69;71;17;27;27;58;62;69;71;71;73
25;2;43;39;21;21;49;29;35;35;14;13;63;58;62;13;14;29;35;35;49;58;62;63
26;48;23;6;26;28;24;39;34;54;61;65;18;47;33;18;24;33;34;39;47;54;61;65
22;2;27;5;0;3;25;17;15;-7;-1;-9;28;26;14;-9;-7;-1;14;15;17;25;26;28
14;22;32;7;20;6;14;22;1;23;38;19;22;40;34;1;14;19;22;22;23;34;38;40
7;41;23;11;33;16;3;40;13;39;72;41;31;39;35;3;13;31;35;39;39;40;41;72
39;20;42;20;2;25;53;27;56;38;13;39;50;38;56;13;27;38;38;39;50;53;56;56
8;30;40;21;30;17;11;29;9;46;43;46;48;61;45;9;11;29;43;45;46;46;48;61
15;30;30;29;20;33;27;27;46;55;50;56;46;48;62;27;27;46;46;48;50;55;56;62
44;5;14;38;12;47;65;44;87;43;15;41;46;8;49;8;15;41;43;44;46;49;65;87
6;11;6;34;24;27;25;21;19;45;34;18;39;29;20;18;19;20;21;25;29;34;39;45
11;8;31;48;16;32;43;12;37;49;22;34;74;43;59;12;22;34;37;43;43;49;59;74
26;0;12;32;35;25;47;43;44;24;15;24;35;42;25;15;24;24;25;35;42;43;44;47
19;45;3;3;39;4;5;38;16;44;82;36;-14;25;6;-14;5;6;16;25;36;38;44;82
42;11;43;33;6;26;67;39;64;25;-2;34;67;35;62;-2;25;34;35;39;62;64;67;67
35;8;13;41;41;27;75;75;51;35;48;32;45;43;36;32;35;36;43;45;48;51;75;75
42;30;24;26;3;29;64;42;65;37;19;59;40;10;53;10;19;37;40;42;53;59;64;65
24;27;35;33;10;9;48;19;18;42;27;25;55;45;36;18;19;25;27;36;42;45;48;55
44;9;2;47;11;22;77;39;51;42;11;12;36;9;24;9;11;12;24;36;39;42;51;77
36;19;20;25;32;2;42;67;22;31;44;9;30;40;5;5;9;22;30;31;40;42;44;67
41;2;16;17;4;20;42;34;58;15;4;13;24;8;34;4;8;13;15;24;34;34;42;58
25;12;0;10;47;47;27;72;68;3;48;46;10;47;37;3;10;27;37;46;47;48;68;72
44;41;29;2;18;25;45;53;63;38;41;55;29;27;51;27;29;38;41;45;51;53;55;63
30;0;6;13;22;15;41;50;39;-3;18;9;3;24;19;-3;3;9;18;19;24;39;41;50
11;39;11;2;8;8;4;12;2;27;43;32;-4;14;10;-4;2;4;10;12;14;27;32;43
26;21;41;35;37;45;52;54;71;47;40;59;71;63;72;40;47;52;54;59;63;71;71;72
40;17;9;39;43;36;64;70;62;52;59;47;32;50;38;32;38;47;50;52;59;62;64;70
27;33;36;48;22;12;58;36;31;64;53;40;71;58;30;30;31;36;40;53;58;58;64;71
31;13;47;13;13;19;44;31;36;6;18;17;45;44;55;6;17;18;31;36;44;44;45;55
12;35;36;30;17;13;24;25;17;64;43;42;46;39;46;17;24;25;39;42;43;46;46;64
2;24;20;44;39;25;29;22;16;64;53;40;44;43;26;16;22;26;29;40;43;44;53;64
2;16;25;42;18;3;32;8;-11;49;31;14;59;24;11;-11;8;11;14;24;31;32;49;59
25;6;0;42;12;15;51;26;40;28;16;3;38;3;0;0;3;3;16;26;28;38;40;51
27;18;8;34;8;49;46;20;64;39;24;57;36;9;50;9;20;24;36;39;46;50;57;64
44;2;13;37;30;14;75;56;57;30;23;5;31;26;27;5;23;26;27;30;31;56;57;75
33;30;29;20;27;32;47;55;58;46;55;55;46;41;43;41;43;46;46;47;55;55;55;58
9;43;25;17;7;22;9;-1;13;53;48;58;39;15;36;-1;9;13;15;36;39;48;53;58
33;1;48;30;32;14;52;50;44;30;24;2;61;76;48;2;24;30;44;48;50;52;61;76
42;4;13;32;49;40;69;85;71;28;44;39;26;61;50;26;28;39;44;50;61;69;71;85
12;14;32;34;18;36;29;16;44;43;26;39;58;50;48;16;26;29;39;43;44;48;50;58
