q0p0;q0p1;q0p2;q0p3;q1p0;q1p1;s[0, 4];s[0, 5];s[1, 4];s[1, 5];s[2, 4];s[2, 5];s[3, 4];s[3, 5];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7
1;26;45;42;23;42;16;28;40;55;59;81;63;80;16;28;40;55;59;63;80;81
26;41;17;22;13;46;32;66;42;83;12;43;30;67;12;30;32;42;43;66;67;83
29;18;45;35;28;26;56;48;45;27;68;62;45;53;27;45;45;48;53;56;62;68
12;35;48;12;44;11;56;13;74;32;91;52;45;12;12;13;32;45;52;56;74;91
13;17;5;30;7;40;1;35;8;47;5;32;25;67;1;5;8;25;32;35;47;67
6;20;28;46;29;0;20;5;44;8;51;11;60;29;5;8;11;20;29;44;51;60
36;34;14;45;14;19;34;54;41;52;16;25;46;60;16;25;34;41;46;52;54;60
1;36;4;37;2;22;1;6;20;51;5;24;36;42;1;5;6;20;24;36;42;51
25;41;35;24;39;38;62;49;78;61;63;64;55;43;43;49;55;61;62;63;64;78
26;31;48;7;22;33;35;41;41;57;68;61;24;35;24;35;35;41;41;57;61;68
40;22;0;36;44;16;84;46;56;28;29;-3;79;40;-3;28;29;40;46;56;79;84
39;30;37;16;9;12;41;36;22;30;45;41;11;27;11;22;27;30;36;41;41;45
5;35;10;42;25;43;20;30;55;59;28;36;64;76;20;28;30;36;55;59;64;76
14;13;0;42;26;28;35;29;27;31;21;9;53;63;9;21;27;29;31;35;53;63
40;40;12;12;26;5;58;28;49;25;18;9;28;1;1;9;18;25;28;28;49;58
38;17;0;27;7;40;34;59;7;46;-8;40;19;50;-8;7;19;34;40;46;50;59
39;32;38;43;37;29;74;50;55;44;75;47;69;64;44;47;50;55;64;69;74;75
43;32;19;12;45;10;87;40;75;41;47;22;41;13;13;22;40;41;41;47;75;87
21;1;36;37;17;6;32;17;1;-13;49;38;38;43;-13;1;17;32;38;38;43;49
21;47;15;36;3;33;7;40;30;78;14;38;29;63;7;14;29;30;38;40;63;78
46;14;8;46;16;2;48;48;26;9;13;9;45;34;9;9;13;26;34;45;48;48
29;8;24;23;34;0;62;20;42;0;44;18;53;22;0;18;20;22;42;44;53;62
16;27;12;7;44;46;59;48;70;66;45;58;50;40;40;45;48;50;58;59;66;70
30;5;41;17;24;43;50;71;29;47;46;64;41;48;29;41;46;47;48;50;64;71
36;3;25;11;11;37;42;58;6;22;36;42;6;37;6;6;22;36;37;42;42;58
3;42;45;1;42;27;41;22;66;67;87;64;24;13;13;22;24;41;64;66;67;87
40;16;44;34;39;40;72;75;53;49;75;80;73;71;49;53;71;72;73;75;75;80
0;5;18;46;37;24;19;13;31;22;49;28;66;59;13;19;22;28;31;49;59;66
10;29;31;45;10;18;4;12;29;45;34;35;47;45;4;12;29;34;35;45;45;47
2;40;42;18;34;47;16;41;61;74;60;83;34;60;16;34;41;60;60;61;74;83
45;34;26;30;49;5;82;47;70;31;69;13;66;34;13;31;34;47;66;69;70;82
3;0;32;32;6;32;2;29;-14;26;20;63;35;55;-14;2;20;26;29;35;55;63
23;3;46;13;25;41;32;61;19;29;53;74;31;49;19;29;31;32;49;53;61;74
20;18;22;14;14;29;24;48;25;46;21;31;9;27;9;21;24;25;27;31;46;48
44;7;32;27;6;21;49;46;8;8;26;52;18;35;8;8;18;26;35;46;49;52
22;7;42;13;6;26;22;42;-1;25;46;60;5;24;-1;5;22;24;25;42;46;60
49;39;44;19;26;32;56;61;62;68;51;66;34;49;34;49;51;56;61;62;66;68
24;22;41;20;3;36;13;51;8;44;34;57;18;46;8;13;18;34;44;46;51;57
11;28;3;12;9;43;6;46;19;69;11;26;21;53;6;11;19;21;26;46;53;69
25;44;14;18;6;10;28;19;33;39;3;22;23;25;3;19;22;23;25;28;33;39
17;6;1;1;7;10;18;18;-7;7;-11;5;2;1;-11;-7;1;2;5;7;18;18
29;33;26;40;4;33;22;58;22;50;21;49;37;69;21;22;22;37;49;50;58;69
36;21;14;31;32;35;48;55;48;42;31;40;50;53;31;40;42;48;48;50;53;55
44;12;28;21;19;19;51;63;16;28;32;45;22;26;16;22;26;28;32;45;51;63
16;0;32;49;28;17;37;21;10;0;44;43;69;49;0;10;21;37;43;44;49;69
