q0p0;q0p1;q0p2;q0p3;q1p0;q1p1;q1p2;s[0, 4];s[0, 5];s[0, 6];s[1, 4];s[1, 5];s[1, 6];s[2, 4];s[2, 5];s[2, 6];s[3, 4];s[3, 5];s[3, 6];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11
30;14;0;19;33;25;4;51;48;17;38;22;17;24;21;2;44;42;5;2;5;17;17;21;22;24;38;42;44;48;51
23;43;6;26;29;19;6;50;39;28;65;45;38;17;10;10;48;32;28;10;10;17;28;28;32;38;39;45;48;50;65
25;47;39;37;36;0;10;53;18;24;67;44;56;69;29;43;53;37;28;18;24;28;29;37;43;44;53;53;56;67;69
27;31;24;27;47;2;32;66;9;47;58;29;60;65;11;52;62;10;52;9;10;11;29;47;52;52;58;60;62;65;66
10;23;36;31;6;20;10;5;22;1;17;27;29;31;52;28;19;34;22;1;5;17;19;22;22;27;28;29;31;34;52
37;0;40;31;12;15;49;36;51;83;-3;0;39;51;40;72;32;26;71;-3;0;26;32;36;39;40;51;51;71;72;83
47;20;45;37;11;48;43;49;93;77;22;55;47;49;76;69;40;83;60;22;40;47;49;49;55;60;69;76;77;83;93
33;17;36;10;14;36;42;45;63;58;30;49;44;40;58;72;8;40;34;8;30;34;40;40;44;45;49;58;58;63;72
49;31;37;3;29;4;19;69;46;57;53;20;34;59;29;49;26;-12;5;-12;5;20;26;29;34;46;49;53;57;59;69
28;15;45;18;1;20;17;22;28;41;8;30;26;36;61;51;15;37;19;8;15;19;22;26;28;30;36;37;41;51;61
49;47;44;33;37;28;10;68;61;57;81;57;46;73;68;49;57;44;35;35;44;46;49;57;57;57;61;68;68;73;81
12;14;37;28;8;47;35;11;55;27;9;43;35;45;76;66;29;63;53;9;11;27;29;35;43;45;53;55;63;66;76
11;31;31;29;21;24;3;28;19;0;36;41;26;45;38;29;42;45;27;0;19;26;27;28;29;36;38;41;42;45;45
16;33;11;25;15;0;37;26;-4;37;29;32;51;12;6;48;23;7;61;-4;6;7;12;23;26;29;32;37;48;51;61
15;22;32;39;30;36;45;45;34;45;44;51;65;49;66;63;55;75;74;34;44;45;45;49;51;55;63;65;66;74;75
4;29;43;49;13;44;5;17;48;2;38;60;14;53;76;34;56;82;41;2;14;17;34;38;41;48;53;56;60;76;82
33;5;24;28;24;10;29;40;37;55;11;5;14;28;19;33;39;18;48;5;11;14;18;19;28;33;37;39;40;48;55
16;45;44;4;42;10;46;45;26;46;82;37;73;85;54;72;32;11;50;11;26;32;37;45;46;50;54;72;73;82;85
6;11;26;17;48;9;14;48;7;12;53;18;23;55;25;40;59;12;24;7;12;12;18;23;24;25;40;48;53;55;59
26;45;17;43;39;21;45;56;47;71;72;48;87;46;18;51;81;59;83;18;46;47;48;51;56;59;71;72;81;83;87
29;15;36;15;17;36;22;26;62;45;21;51;29;52;65;43;15;48;18;15;18;21;26;29;43;45;48;51;52;62;65
