q0p0;q0p1;q0p2;q0p3;q1p0;q1p1;q1p2;q1p3;s[0, 4];s[0, 5];s[0, 6];s[0, 7];s[1, 4];s[1, 5];s[1, 6];s[1, 7];s[2, 4];s[2, 5];s[2, 6];s[2, 7];s[3, 4];s[3, 5];s[3, 6];s[3, 7];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15
11;24;2;45;19;1;24;42;28;-7;31;35;27;23;30;52;4;0;15;41;61;34;62;77;-7;0;4;15;23;27;28;30;31;34;35;41;52;61;62;77
25;15;24;1;6;21;26;48;12;35;45;63;14;30;38;55;22;28;45;70;-3;2;26;39;-3;2;12;14;22;26;28;30;35;38;39;45;45;55;63;70
18;46;46;9;32;24;45;40;37;31;49;47;63;61;85;71;76;67;79;84;37;27;46;29;27;29;31;37;37;46;47;49;61;63;67;71;76;79;84;85
3;48;0;0;36;4;31;45;34;-1;33;42;84;45;79;90;18;-14;21;38;28;-7;31;32;-14;-7;-1;18;21;28;31;32;33;34;38;42;45;79;84;90
35;17;16;35;37;44;30;10;61;62;45;36;50;47;39;12;45;48;30;6;59;66;48;29;6;12;29;30;36;39;45;45;47;48;48;50;59;61;62;66
26;43;5;21;18;19;28;38;31;29;52;61;48;54;60;67;6;6;18;40;24;31;36;58;6;6;18;24;29;31;31;36;40;48;52;54;58;60;61;67
43;41;47;35;44;10;9;23;80;50;48;65;70;43;45;64;85;38;52;64;59;27;34;56;27;34;38;43;45;48;50;52;56;59;64;64;65;70;80;85
17;17;27;24;26;30;29;17;40;44;28;26;39;45;27;26;34;56;44;34;49;42;40;21;21;26;26;27;28;34;34;39;40;40;42;44;44;45;49;56
16;11;15;31;19;4;33;2;29;10;42;12;15;14;27;-2;25;19;28;-3;41;32;62;28;-3;-2;10;12;14;15;19;25;27;28;28;29;32;41;42;62
30;9;6;24;21;46;24;39;38;60;41;53;26;42;19;28;11;35;22;31;28;61;45;62;11;19;22;26;28;28;31;35;38;41;42;45;53;60;61;62
8;5;2;44;18;46;30;37;21;37;37;28;17;42;33;30;17;32;13;35;57;87;54;70;13;17;17;21;28;30;32;33;35;37;37;42;54;57;70;87
46;13;32;39;27;14;44;34;68;52;82;63;38;9;57;39;59;30;56;64;58;44;65;61;9;30;38;39;44;52;56;57;58;59;61;63;64;65;68;82
5;0;34;12;1;26;16;33;-7;27;17;19;-1;25;-4;24;15;56;38;61;-7;34;10;40;-7;-7;-4;-1;10;15;17;19;24;25;27;34;38;40;56;61
39;16;41;38;15;26;29;10;46;65;54;32;28;38;26;14;44;63;60;35;33;55;49;41;14;26;28;32;33;35;38;41;44;46;49;54;55;60;63;65
37;17;28;33;30;7;25;21;64;37;57;51;31;10;36;33;50;17;34;32;56;30;43;50;10;17;30;31;32;33;34;36;37;43;50;50;51;56;57;64
7;32;16;40;6;24;10;33;-1;24;-3;22;31;41;25;60;15;25;22;45;42;58;35;65;-3;-1;15;22;22;24;25;25;31;35;41;42;45;58;60;65
12;37;38;1;21;23;23;11;32;32;29;6;57;45;43;32;52;42;50;30;20;16;10;0;0;6;10;16;20;29;30;32;32;32;42;43;45;50;52;57
20;16;37;45;6;41;10;17;13;56;25;35;10;48;7;24;36;78;34;50;46;83;39;60;7;10;13;24;25;34;35;36;39;46;48;50;56;60;78;83
7;15;38;20;18;8;36;11;14;5;38;17;25;12;34;20;46;27;60;31;34;20;42;16;5;12;14;16;17;20;20;25;27;31;34;34;38;42;46;60
43;12;15;14;34;40;40;6;68;76;64;30;30;40;52;-1;36;55;40;18;42;42;38;9;-1;9;18;30;30;36;38;40;40;42;42;52;55;64;68;76
12;12;7;14;5;15;16;43;16;25;12;53;11;24;18;36;-3;11;23;43;-1;18;14;43;-3;-1;11;11;12;14;16;18;18;23;24;25;36;43;43;53
