q0p0;q0p1;q0p2;q1p0;q1p1;q1p2;q2p0;q2p1;q2p2;s[0, 3];s[0, 4];s[0, 5];s[0, 6];s[0, 7];s[0, 8];s[1, 3];s[1, 4];s[1, 5];s[1, 6];s[1, 7];s[1, 8];s[2, 3];s[2, 4];s[2, 5];s[2, 6];s[2, 7];s[2, 8];s[3, 6];s[3, 7];s[3, 8];s[4, 6];s[4, 7];s[4, 8];s[5, 6];s[5, 7];s[5, 8];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15;cost_ranking 16;cost_ranking 17;cost_ranking 18;cost_ranking 19;cost_ranking 20;cost_ranking 21;cost_ranking 22;cost_ranking 23;cost_ranking 24;cost_ranking 25;cost_ranking 26
16;36;4;47;22;11;44;26;39;57;28;12;41;37;38;68;56;47;72;47;61;40;19;-5;48;13;29;71;65;75;49;42;46;38;32;50;-5;12;13;19;28;29;32;37;38;38;40;41;42;46;47;47;48;49;50;56;57;61;65;68;71;72;75
10;46;25;32;19;44;13;2;1;40;11;52;9;4;8;70;60;87;58;30;32;45;25;54;18;22;14;30;15;22;19;5;10;53;43;36;4;5;8;9;10;11;14;15;18;19;22;22;25;30;30;32;36;40;43;45;52;53;54;58;60;70;87
19;48;2;44;16;12;47;4;41;62;23;16;62;15;56;76;50;44;85;32;85;42;-1;-5;45;-1;26;84;29;85;59;13;47;56;10;40;-5;-1;-1;10;13;15;16;23;26;29;32;40;42;44;45;47;50;56;56;59;62;62;76;84;85;85;85
10;13;49;29;0;47;37;14;15;23;9;56;41;6;16;42;-2;50;39;20;9;74;31;79;70;49;56;50;23;34;19;3;15;74;49;48;-2;3;6;9;9;15;16;19;20;23;23;31;34;39;41;42;48;49;49;50;50;56;56;70;74;74;79
24;40;48;40;33;28;43;19;32;58;55;37;64;36;38;65;56;59;80;51;52;73;72;67;72;50;73;63;47;61;65;43;56;54;46;53;36;37;38;43;46;47;50;51;52;53;54;55;56;56;58;59;61;63;64;65;65;67;72;72;73;73;80
36;13;25;19;5;24;42;29;6;41;38;58;78;52;24;20;5;32;52;32;18;26;11;32;57;36;11;55;31;10;45;15;-2;61;42;14;-2;5;10;11;11;14;15;18;20;24;26;31;32;32;32;36;38;41;42;45;52;52;55;57;58;61;78
6;43;0;22;49;26;0;30;38;15;54;23;-12;33;31;52;92;65;38;54;65;12;45;22;-17;29;24;22;43;43;34;70;74;25;56;53;-17;-12;12;15;22;22;23;24;25;29;31;33;34;38;43;43;45;52;53;54;54;56;65;65;70;74;92
26;31;22;36;40;11;11;7;17;57;56;19;34;19;29;55;65;33;36;33;35;46;56;13;33;13;33;43;27;53;33;34;54;10;7;12;7;10;12;13;13;19;19;27;29;33;33;33;33;33;34;34;35;36;43;46;53;54;55;56;56;57;65
14;14;10;34;19;30;6;7;8;46;25;43;11;9;3;28;18;34;19;2;2;37;12;23;-1;7;6;27;23;29;24;23;27;18;29;22;-1;2;2;3;6;7;9;11;12;18;18;19;22;23;23;23;24;25;27;27;28;29;29;34;37;43;46
43;29;32;0;43;27;18;44;5;42;85;54;41;83;40;20;66;42;32;54;15;26;59;46;30;62;17;11;43;-6;54;82;36;26;58;27;-6;11;15;17;20;26;26;27;30;32;36;40;41;42;42;43;46;54;54;54;58;59;62;66;82;83;85
22;17;23;44;33;26;43;41;6;50;38;41;56;43;25;58;50;32;41;40;22;50;56;38;54;54;20;74;70;31;63;57;36;52;55;26;20;22;25;26;31;32;36;38;38;40;41;41;43;50;50;50;52;54;54;55;56;56;57;58;63;70;74
1;44;37;12;40;1;39;49;46;11;26;1;29;40;27;37;82;41;80;77;73;40;70;20;74;74;66;39;48;55;64;76;75;28;44;35;1;11;20;26;27;28;29;35;37;39;40;40;41;44;48;55;64;66;70;73;74;74;75;76;77;80;82
36;24;33;35;30;22;42;39;32;67;56;50;78;62;58;47;36;46;66;52;49;64;59;44;74;56;65;65;67;58;70;50;58;57;58;54;36;44;46;47;49;50;50;52;54;56;56;57;58;58;58;58;59;62;64;65;65;66;67;67;70;74;78
47;31;38;6;49;8;8;48;37;48;79;36;40;76;83;31;68;24;28;73;61;27;83;36;34;86;70;11;45;31;54;81;86;14;46;26;11;14;24;26;27;28;31;31;34;36;36;40;45;46;48;54;61;68;70;73;76;79;81;83;83;86;86
40;49;37;46;16;43;48;11;42;82;40;79;74;45;80;87;57;78;95;44;90;65;40;64;69;41;73;74;41;83;51;27;39;76;37;73;27;37;39;40;40;41;41;44;45;51;57;64;65;69;73;73;74;74;76;78;79;80;82;83;87;90;95
4;2;16;7;20;29;12;26;47;5;18;29;6;17;45;9;7;25;10;11;43;23;31;30;15;34;45;17;29;51;25;35;53;41;47;74;5;6;7;9;10;11;15;17;17;18;23;25;25;29;29;30;31;34;35;41;43;45;45;47;51;53;74
7;4;13;2;23;9;15;43;1;-4;14;7;13;44;5;-6;23;-4;9;29;-15;12;34;2;18;43;11;1;43;-5;23;47;12;5;35;0;-15;-6;-5;-4;-4;0;1;2;5;5;7;9;11;12;12;13;14;18;23;23;29;34;35;43;43;44;47
