q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13;cheapest; 2nd;3rd;most expensive
45.0;35.0;22.0;32.0;-10.0;-19.0;-11.0;-19.0;0.17180584824319167;0.22089323345553225;0.4417864669110645;0.4663301595172349
21.0;36.0;45.0;42.0;-3.0;-4.0;-14.0;-9.0;0.3327958319480714;0.43929049817145416;0.5457851643948368;0.5990324975065283
17.0;37.0;32.0;30.0;-3.0;-15.0;-6.0;-13.0;-0.03020762166913249;0.39269908169872425;0.6343600550517852;0.9062286500739788
13.0;34.0;4.0;31.0;-10.0;-18.0;-11.0;-12.0;-0.5135295683752547;0.0604152433382652;0.0906228650073978;0.8760210284048462
9.0;12.0;47.0;44.0;-20.0;-5.0;-3.0;-18.0;-0.10550124582950782;-0.05861180323861537;0.17583540971584688;0.36339318007941657
8.0;39.0;28.0;27.0;-10.0;-17.0;-15.0;-10.0;-0.42074901610577586;-0.19634954084936207;0.5329487537339828;0.6451484913621897
36.0;13.0;22.0;18.0;-5.0;0.0;-17.0;0.0;-0.31119549870464913;0.07409416635825006;0.7261228303108486;0.7557604968541486
10.0;31.0;40.0;36.0;-20.0;-3.0;-18.0;0.0;-2.220446049250313e-16;0.34033920413889407;0.6021385919380434;0.9686577348568527
19.0;6.0;38.0;41.0;-1.0;-15.0;-1.0;-1.0;0.1121997376282069;0.16829960644231035;0.19634954084936207;0.4768488849198793
7.0;21.0;8.0;38.0;-5.0;0.0;-1.0;-17.0;-0.6140385641107324;-0.09995976625058448;0.2998792987517529;0.3855590983951108
4.0;23.0;44.0;32.0;-2.0;-14.0;0.0;-12.0;-0.6229019916600451;-0.054165390579134276;0.027082695289567138;0.595819296370478
43.0;0.0;5.0;17.0;-3.0;-3.0;-5.0;-12.0;-1.3280368944720489;-1.1852372283997856;-0.04283989982167924;0.2998792987517528
15.0;13.0;27.0;22.0;-20.0;-5.0;-11.0;-4.0;0.38434378208811326;0.6182921711852256;0.6851345680701146;0.718555766512559
25.0;44.0;25.0;7.0;-15.0;0.0;-10.0;-20.0;-0.12271846303085143;-0.09817477042468101;-0.024543692606170175;0.5645049299419158
31.0;13.0;21.0;28.0;-18.0;-19.0;-8.0;-10.0;0.2513274122871837;0.40840704496667346;0.5026548245743672;0.6911503837897548
22.0;17.0;32.0;8.0;-20.0;-11.0;0.0;-10.0;-0.09062286500739802;0.03020762166913238;0.48332194670612183;0.9364362717431112
37.0;6.0;4.0;29.0;-16.0;-9.0;-1.0;-9.0;-0.6668474972242484;-0.19264483253144937;-0.16300716598814968;0.7557604968541485
16.0;4.0;14.0;40.0;-13.0;-1.0;-6.0;-20.0;-0.47123889803846913;-0.34033920413889446;-0.15707963267948988;0.6544984694978733
34.0;21.0;47.0;37.0;-10.0;0.0;-1.0;-3.0;-0.013778915147323656;0.3169150483884441;0.42714636956703333;0.42714636956703345
16.0;7.0;24.0;41.0;-16.0;-9.0;-18.0;-19.0;-0.5235987755982989;-0.23561944901923454;-0.10471975511966003;0.3926990816987238
32.0;40.0;45.0;5.0;-11.0;-17.0;-12.0;-2.0;-0.5573793417659311;0.0253354246257243;0.6080501910173792;0.7853981633974484
49.0;37.0;30.0;49.0;-7.0;-3.0;-6.0;-13.0;0.17734797238006894;0.4560376432630344;0.48137306788875867;1.0387524096546896
5.0;43.0;21.0;2.0;-18.0;-11.0;-9.0;-11.0;-1.068656517409643;-0.7596474039417944;-0.0901276580947894;0.45063829047394544
29.0;18.0;38.0;16.0;-5.0;-8.0;-18.0;-6.0;-0.05609986881410345;0.19634954084936207;0.2243994752564138;0.8975979010256552
19.0;20.0;39.0;24.0;-13.0;-20.0;-12.0;0.0;-0.14643016605715142;0.41266683161560835;0.43929049817145416;0.49253783128314554
32.0;48.0;11.0;20.0;-15.0;-13.0;-20.0;-10.0;-0.3233992437518904;-0.0692998379468337;-0.06929983794683359;0.3695991357164463
8.0;20.0;48.0;32.0;-7.0;-6.0;-19.0;-6.0;-0.22272485230673894;0.0586118032386157;0.1289459671249542;0.12894596712495432
27.0;31.0;23.0;30.0;-4.0;-6.0;-11.0;-3.0;0.4861988630555636;0.5983986006837704;0.7853981633974485;1.047197551196598
10.0;43.0;1.0;24.0;-1.0;-6.0;-4.0;-18.0;-0.7081458850304864;-0.24463221482871367;0.06437689863913487;0.2961337337400214
19.0;28.0;39.0;26.0;-15.0;-5.0;-15.0;-8.0;0.11635528346628865;0.20362174606600503;0.2908882086657216;0.4654211338651546
41.0;14.0;13.0;31.0;-14.0;0.0;-9.0;-6.0;-0.642598497325185;-0.04283989982167924;-0.014279966607226413;0.8996378962552589
35.0;21.0;36.0;27.0;-18.0;-1.0;-8.0;-8.0;0.3781546712654379;0.6399540590645872;0.756309342530876;0.9890199094634533
20.0;27.0;44.0;4.0;-20.0;-20.0;-6.0;-13.0;-0.7853981633974483;-0.4417864669110647;0.19634954084936196;0.7117670855789373
49.0;15.0;26.0;49.0;-12.0;-15.0;-14.0;-9.0;-0.5890486225480863;0.09817477042468081;0.294524311274043;0.7853981633974481
5.0;28.0;38.0;4.0;-19.0;-1.0;-6.0;-8.0;-0.5649355210402699;-0.12401023632591301;-0.12401023632591301;0.8680716542813901
13.0;42.0;3.0;3.0;-14.0;-8.0;-18.0;-19.0;-0.8368996823087564;-0.6823951255748322;-0.21888145537305947;-0.1931306959174054
45.0;4.0;32.0;17.0;-17.0;-18.0;-12.0;-16.0;-0.8851312635114099;-0.411399037970092;0.08726646259971649;0.48619886305556326
37.0;19.0;2.0;30.0;-16.0;-16.0;-11.0;-20.0;-0.42714636956703333;-0.06889457573661839;0.09645240603126548;0.7027246725135061
37.0;30.0;42.0;0.0;0.0;-13.0;-19.0;0.0;-0.2703829742843675;-0.11587841755044326;0.47638904992959974;1.1459087957766045
23.0;38.0;33.0;20.0;-4.0;-16.0;-9.0;-3.0;-0.17453292519943298;0.5526875964648712;0.6399540590645874;0.8435758051305927
7.0;47.0;37.0;4.0;-12.0;-10.0;-5.0;-16.0;-1.134464013796314;-0.361532487913111;-0.2867326628276398;0.8103314384259388
34.0;27.0;34.0;10.0;-5.0;-5.0;-18.0;-16.0;-0.09062286500739802;0.45311432503698934;0.57394481171352;1.1780972450961724
9.0;37.0;22.0;27.0;-10.0;-9.0;-18.0;-6.0;-0.21419949910839498;-0.04283989982167902;0.35699916518065833;0.8425180298263536
18.0;8.0;1.0;47.0;-18.0;-17.0;-7.0;-5.0;-1.0270591367505093;-1.0028930394152031;0.10874743800887743;0.15707963267948954
39.0;29.0;23.0;33.0;-15.0;-1.0;-19.0;-2.0;0.08124808586870158;0.4604058199226424;0.8124808586870155;1.1103905068722546
29.0;16.0;9.0;15.0;-9.0;-18.0;-8.0;-20.0;-0.08014266973443374;0.11219973762820656;0.40071334867216724;0.4968845523534874
36.0;14.0;26.0;13.0;-4.0;-8.0;-17.0;-2.0;-0.16300716598814946;-0.10373183290154958;0.3704708317912494;0.8743111630273483
42.0;41.0;1.0;8.0;-5.0;-16.0;-14.0;-16.0;-0.29790964818523885;-0.16249617173740294;-0.13541347644783586;-0.027082695289567138
16.0;44.0;32.0;42.0;0.0;-13.0;-3.0;-8.0;-0.04133674544197097;0.04133674544197097;0.7302825028081537;0.8680716542813902
10.0;48.0;2.0;18.0;0.0;-16.0;-2.0;-16.0;-0.8835729338221293;-0.8835729338221293;0.0;0.04908738521234057
5.0;9.0;48.0;33.0;-12.0;-13.0;-16.0;-5.0;-0.5645049299419159;-0.2699806186678728;-0.17180584824319178;-0.17180584824319178
15.0;15.0;18.0;28.0;-8.0;-2.0;0.0;-1.0;-0.21816615649929116;0.13089969389957473;0.4799655442984406;0.5235987755982988
22.0;44.0;15.0;12.0;-10.0;-16.0;-20.0;-12.0;-0.4417864669110647;-0.22089323345553236;0.07363107781851064;0.19634954084936196
49.0;24.0;3.0;13.0;-14.0;-9.0;-1.0;-10.0;-0.6607317882549959;-0.6357985132265056;-0.3615324879131108;0.012466637514245482
45.0;40.0;36.0;13.0;-18.0;-3.0;-1.0;-5.0;0.1869995627136783;0.36153248791311104;0.5609986881410345;0.8601979884829195
33.0;1.0;44.0;8.0;-2.0;-6.0;-17.0;-19.0;-1.1843305638532948;-0.23686611277065878;-0.06233318757122591;0.9349978135683911
27.0;20.0;16.0;4.0;-1.0;-5.0;-17.0;-13.0;-0.14279966607226335;0.14279966607226335;0.39269908169872414;0.9638977459877774
27.0;20.0;42.0;15.0;-19.0;0.0;-20.0;-12.0;-0.2533542462572413;0.22801882163151743;0.22801882163151754;0.4307022186373106
21.0;42.0;7.0;38.0;-20.0;-14.0;-11.0;-11.0;-0.6333856156431034;0.1266771231286209;0.3040250955086897;0.9120752865260691
10.0;31.0;37.0;0.0;-13.0;0.0;-7.0;0.0;-0.8168140899333461;-0.15707963267948954;-0.06283185307179573;0.7853981633974485
30.0;35.0;29.0;2.0;-16.0;-8.0;-14.0;-4.0;-0.1385996758936674;0.13859967589366734;0.4465989556573726;0.6621984514919663
27.0;4.0;43.0;38.0;-16.0;-18.0;-11.0;-18.0;-0.3476352526513297;-0.038626139183481345;0.24463221482871322;0.42488753101829146
0.0;11.0;17.0;2.0;-18.0;-4.0;-7.0;-19.0;-0.1308996938995748;0.043633231299858105;0.08726646259971627;1.0471975511965974
33.0;0.0;27.0;17.0;-15.0;-11.0;-4.0;-8.0;-0.5890486225480864;-0.13089969389957506;0.3926990816987238;0.5890486225480858
49.0;42.0;31.0;46.0;-4.0;-12.0;-2.0;-20.0;0.5577465218329705;0.6260420143023138;0.7398678350845524;0.899223984179687
37.0;16.0;18.0;16.0;-3.0;-16.0;-7.0;-16.0;-0.4593838314211489;-0.1333694994448496;0.1630071659881499;0.607572164137649
4.0;25.0;38.0;44.0;-15.0;-20.0;-17.0;-6.0;-0.22089323345553236;-0.19634954084936218;0.24543692606170253;0.6626797003665967
22.0;48.0;6.0;20.0;-6.0;-19.0;-13.0;-13.0;-0.5040615078520936;-0.4806167865566473;-0.05861180323861548;0.26961429489763156
21.0;25.0;13.0;2.0;-20.0;-16.0;0.0;-2.0;-0.01745329251994332;0.22689280275926293;0.6108652381980153;1.064650843716541
26.0;28.0;8.0;32.0;-19.0;-11.0;-1.0;-10.0;-0.1385996758936674;0.47739888363374305;0.8469980193501894;0.9393978032793008
47.0;19.0;13.0;4.0;-4.0;-16.0;-3.0;-11.0;-0.8601979884829194;-0.4363323129985823;-0.2867326628276398;0.236866112770659
29.0;21.0;13.0;13.0;-8.0;-15.0;-17.0;-17.0;-0.03414774623467176;-0.03414774623467176;0.30732971611204496;0.5463639397547466
23.0;49.0;29.0;41.0;-10.0;-17.0;-15.0;-14.0;-0.14279966607226324;-0.023799944345377133;0.35699916518065833;0.6663984416705622
32.0;26.0;22.0;7.0;-18.0;-20.0;-4.0;-11.0;0.03020762166913249;0.12083048667653018;0.543737190044387;0.7853981633974482
13.0;33.0;7.0;34.0;-1.0;-2.0;-14.0;-7.0;-0.3599741582238306;-0.1308996938995749;0.49087385212340484;0.9817477042468099
15.0;25.0;32.0;8.0;-18.0;-19.0;-11.0;-19.0;-0.47739888363374305;-0.16939960387003783;0.2925993157755199;0.8161980913738189
33.0;16.0;12.0;4.0;-6.0;-10.0;-13.0;-5.0;-0.5122161935200751;-0.5122161935200751;-0.10244323870401495;0.30732971611204496
22.0;31.0;10.0;22.0;-7.0;-13.0;-12.0;-18.0;0.17631387341575344;0.304542144990847;0.36865628077839396;0.4968845523534875
4.0;48.0;23.0;3.0;-14.0;-12.0;-1.0;-1.0;-1.4187837790405518;-0.9627461357775172;-0.025335424625724134;0.4813730678887586
22.0;32.0;29.0;19.0;-1.0;-3.0;-6.0;0.0;-0.04133674544197086;0.45470419986168087;0.4960409453036516;0.6613879270715355
14.0;34.0;36.0;47.0;-3.0;-2.0;-2.0;-8.0;-0.3284392319662058;0.01427996660722608;0.2713193655373002;0.4141190316095633
3.0;7.0;39.0;47.0;-8.0;0.0;-12.0;-5.0;-0.49253783128314566;-0.49253783128314554;-0.09318283294546015;-0.06655916638961445
5.0;3.0;8.0;17.0;-16.0;-17.0;-17.0;-5.0;-0.2771993517873347;-0.13859967589366728;0.23099945982277892;0.6929983794683368
2.0;29.0;19.0;29.0;-14.0;-5.0;-7.0;-5.0;-0.566217280588858;0.1278555149716777;0.6758077219931532;1.1141694876103336
46.0;7.0;28.0;29.0;-14.0;-9.0;-12.0;-5.0;-0.6544984694978737;-0.44505895925855415;0.3141592653589791;0.47123889803846863
22.0;10.0;42.0;47.0;-8.0;-10.0;-20.0;-14.0;-0.19928013101129283;0.0586118032386157;0.36339318007941657;0.4337273439657552
30.0;29.0;40.0;36.0;-12.0;-5.0;0.0;-4.0;0.48332194670612183;0.5739448117135197;0.5739448117135197;0.8156057850665805
40.0;41.0;11.0;49.0;-4.0;-10.0;-10.0;-7.0;-0.43929049817145416;-0.3061721653922256;0.5457851643948368;0.6522798306182196
44.0;21.0;49.0;10.0;-17.0;-6.0;-6.0;-17.0;-0.8091981077428255;0.0;0.3807991095260356;0.6663984416705622
47.0;6.0;20.0;8.0;-20.0;-14.0;-19.0;-7.0;-0.7853981633974482;-0.7853981633974481;0.011722360647723362;0.1523906884204006
18.0;29.0;15.0;14.0;-11.0;-11.0;-14.0;-20.0;0.24042800920330015;0.27248507709707354;0.304542144990847;0.5289416202472608
30.0;49.0;8.0;46.0;-17.0;-16.0;-15.0;-13.0;-0.642598497325185;-0.14279966607226324;0.2855993321445266;0.8091981077428256
12.0;31.0;35.0;13.0;-19.0;-16.0;-15.0;-17.0;-0.43633231299858255;0.08726646259971638;0.11635528346628865;0.7853981633974483
49.0;31.0;41.0;48.0;-1.0;-1.0;-11.0;-8.0;0.10471975511965947;0.36651914291880905;0.8377580409572778;1.0210176124166825
2.0;36.0;20.0;32.0;-17.0;-6.0;-18.0;-19.0;-0.5854786308962797;0.07139983303613151;0.35699916518065833;0.6711584305396374
49.0;36.0;22.0;46.0;-12.0;-18.0;-7.0;-5.0;0.10550124582950815;0.29305901619307784;0.7150639995111097;0.7150639995111098
44.0;2.0;25.0;37.0;-11.0;-10.0;-8.0;-3.0;-0.8710779630408063;-0.38555909839511104;0.2427594323228477;0.6140385641107322
7.0;13.0;31.0;2.0;-14.0;-12.0;-6.0;-13.0;-0.9948376736367678;-0.8203047484373347;-0.05235987755982985;0.43633231299858233
11.0;37.0;26.0;34.0;-5.0;-19.0;-3.0;-4.0;-0.028049934407051724;0.14024967203525862;0.9256478354327069;1.121997376282069
14.0;46.0;11.0;13.0;-7.0;-18.0;-20.0;-11.0;-0.7139983303613167;-0.49979883125292174;-0.04759988869075449;0.21419949910839498
15.0;32.0;31.0;5.0;-4.0;-11.0;-17.0;-17.0;-0.4327704165659411;-0.08014266973443362;0.625112823928581;0.7533410955036746
28.0;1.0;19.0;30.0;-17.0;-5.0;-7.0;-6.0;-0.21723778987588982;0.18381659143344542;0.3509225836456684;1.1196101478218943
26.0;29.0;43.0;9.0;-4.0;-16.0;-3.0;0.0;-0.5724088309506827;-0.06655916638961429;0.6522798306182197;0.7587744968416025
8.0;36.0;11.0;34.0;-6.0;-8.0;0.0;-17.0;-0.4593838314211488;0.1630071659881499;0.5482968310510491;0.7261228303108487
44.0;42.0;22.0;30.0;-8.0;-1.0;-18.0;-5.0;0.17734797238006905;0.48137306788875867;0.7093918895202759;0.8614044372746208
6.0;15.0;27.0;29.0;-4.0;-8.0;-13.0;-12.0;0.11219973762820712;0.18699956271367824;0.18699956271367824;0.29919930034188524
43.0;37.0;23.0;6.0;-20.0;-14.0;-13.0;-1.0;0.012466637514245149;0.1869995627136783;0.2867326628276399;0.3116659378561304
25.0;28.0;6.0;49.0;-4.0;-1.0;-3.0;-15.0;-0.5890486225480862;-0.49087385212340523;0.2699806186678728;0.5399612373357455
8.0;30.0;3.0;11.0;-11.0;-6.0;-13.0;-9.0;-0.9315187519365085;-0.45662683918456287;-0.20091580924120744;0.237445956375973
23.0;49.0;12.0;26.0;-15.0;-17.0;-17.0;-7.0;-0.6663984416705622;-0.3807991095260356;-0.09519977738150887;0.47599888690754444
35.0;7.0;8.0;17.0;-13.0;-3.0;-18.0;-18.0;-0.8446734964840481;-0.5779344975943486;0.13336949944484977;0.6964851637675487
27.0;34.0;18.0;48.0;-3.0;-19.0;-5.0;-2.0;-0.0351670819431692;0.08205652453406187;0.2930590161930777;0.8557323272837869
34.0;37.0;21.0;49.0;-8.0;-15.0;-12.0;-1.0;-0.12271846303085132;-0.09817477042468103;0.4172427743048943;0.8344855486097886
31.0;48.0;3.0;29.0;-7.0;-2.0;-7.0;-13.0;-0.6566443661191782;-0.21888145537305947;0.141629177006097;0.2961337337400214
18.0;34.0;33.0;38.0;-15.0;-20.0;-6.0;-18.0;0.24374425760610463;0.24374425760610463;0.7312327728183139;0.9208116398452844
4.0;4.0;22.0;22.0;-6.0;-17.0;-9.0;-19.0;0.09578026382895743;0.17240447489212318;0.47890131914478595;0.5938376357395345
17.0;43.0;43.0;20.0;-15.0;-9.0;-12.0;-9.0;-0.37915773405394054;0.08124808586870158;0.3249923434748062;0.8666462492661497
30.0;1.0;47.0;42.0;-7.0;-9.0;-6.0;-9.0;-0.6451484913621897;-0.42074901610577586;0.16829960644231035;0.3646491472916724
16.0;17.0;8.0;36.0;-12.0;-14.0;-6.0;-13.0;-0.6597344572538563;-0.43982297150257077;0.15707963267948988;0.21991148575128583
25.0;12.0;2.0;20.0;-8.0;-9.0;-20.0;-14.0;-0.47123889803846897;0.36651914291880916;0.40142572795869574;0.9948376736367678
28.0;40.0;9.0;24.0;-7.0;0.0;-16.0;0.0;-0.16829960644231035;-0.08414980322115517;0.4487989505128276;0.7853981633974483
23.0;6.0;26.0;45.0;-3.0;-14.0;-13.0;-12.0;-0.7321508302857569;-0.1996774991688428;-0.013311833277922958;0.1996774991688428
9.0;28.0;2.0;43.0;-10.0;0.0;-3.0;-7.0;-1.4374268273500468;-0.6668474972242486;0.07409416635824984;0.4297461648778491
15.0;22.0;17.0;17.0;-15.0;-5.0;-6.0;-20.0;0.5235987755982991;0.5983986006837703;0.8975979010256554;1.1219973762820692
24.0;5.0;44.0;6.0;-12.0;-9.0;-5.0;-1.0;-1.0658975074679655;-0.7573482289903966;-0.1121997376282069;0.2243994752564138
25.0;21.0;44.0;45.0;-7.0;-20.0;-4.0;-4.0;0.3020762166913262;0.5679032873796932;0.5920693847149994;0.5920693847149994
35.0;14.0;33.0;24.0;0.0;-13.0;-18.0;-16.0;-0.10373183290154975;0.10373183290154986;0.6075721641376488;1.2596008280902473
7.0;36.0;36.0;1.0;-9.0;-16.0;-8.0;-4.0;-1.14788962342704;0.09062286500739775;0.1208304866765304;1.0270591367505093
36.0;32.0;32.0;38.0;-18.0;-13.0;0.0;-4.0;0.5609986881410345;0.8695479666186035;0.9536977698397586;1.009797638653862
30.0;31.0;17.0;18.0;-8.0;0.0;0.0;-2.0;0.1812457300147956;0.5034603611522102;0.5437371900443871;0.5437371900443871
49.0;42.0;21.0;23.0;-7.0;-17.0;-6.0;-2.0;0.1665996104176406;0.21419949910839498;0.35699916518065833;0.35699916518065833
14.0;11.0;24.0;47.0;-12.0;-11.0;-10.0;-6.0;-0.732150830285757;-0.7055271637299112;-0.06655916638961434;-0.013311833277923069
7.0;4.0;38.0;48.0;-13.0;-8.0;-1.0;-14.0;-0.48137306788875855;-0.3293605201344138;-0.25335424625724134;-0.10134169850289654
10.0;12.0;40.0;29.0;-4.0;-9.0;-6.0;-19.0;-0.2529248322805342;-0.03993549983376854;0.3860431650597627;0.3860431650597627
2.0;0.0;47.0;9.0;-8.0;-1.0;-3.0;-15.0;-1.3681129297891035;-0.9627461357775173;-0.177347972380069;-0.10134169850289654
3.0;28.0;30.0;4.0;-1.0;-3.0;-14.0;-11.0;-0.7139983303613167;-0.10709974955419754;0.28559933214452665;0.7139983303613167
42.0;34.0;44.0;12.0;-15.0;-2.0;0.0;-12.0;-0.25292483228053436;0.22630116572468845;0.7321508302857569;0.9185164961766767
39.0;14.0;16.0;11.0;-10.0;-12.0;-20.0;-8.0;-0.49253783128314554;-0.30617216539222564;0.2529248322805342;0.43929049817145416
19.0;15.0;31.0;10.0;-5.0;-19.0;-11.0;-5.0;-0.25132741228718325;0.06283185307179612;0.534070751110265;0.8482300164692446
15.0;24.0;47.0;46.0;-8.0;-10.0;0.0;-2.0;-0.12401023632591279;-0.04133674544197086;0.3444728786830914;0.42714636956703333
11.0;9.0;45.0;18.0;-11.0;-15.0;0.0;-8.0;-0.8115781021773633;-0.6806784082777885;0.0;0.23561944901923448
33.0;2.0;28.0;18.0;-5.0;-3.0;-12.0;-17.0;-0.6597344572538564;-0.1884955592153873;0.7539822368615509;1.0053096491487343
