q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13;cheapest; 2nd;3rd;most expensive
24.0;38.0;24.0;47.0;-3.0;-3.0;-16.0;-12.0;-0.0373999125427355;-0.012466637514245038;0.5360654131125442;0.6607317882549961
43.0;21.0;5.0;3.0;-11.0;-13.0;-18.0;-18.0;-0.8111489228531025;-0.7596474039417944;-0.11587841755044337;-0.012875379727827263
46.0;12.0;25.0;49.0;-14.0;-19.0;-11.0;-20.0;-0.39839037273783606;-0.056912910391119564;0.30732971611204485;0.7398678350845526
17.0;21.0;31.0;28.0;-17.0;-9.0;-11.0;0.0;0.3272492347489364;0.49087385212340484;0.6544984694978735;0.9162978572970227
8.0;42.0;23.0;3.0;-15.0;0.0;-5.0;-20.0;-0.557379341765931;-0.4307022186373102;-0.20268339700579296;0.684056464894552
31.0;32.0;46.0;42.0;-13.0;-6.0;-4.0;-5.0;0.38604316505976266;0.46591416472729974;0.5191614978389909;0.6522798306182195
31.0;25.0;6.0;39.0;-13.0;-1.0;-6.0;-6.0;-0.45311432503698945;-0.42290670336785685;0.5739448117135199;0.9062286500739788
38.0;44.0;22.0;42.0;-14.0;-15.0;-2.0;-13.0;0.06655916638961434;0.545785164394837;0.5724088309506827;0.7853981633974483
11.0;12.0;25.0;40.0;-14.0;-16.0;-16.0;-12.0;-0.42074901610577586;-0.39269908169872414;-0.028049934407051724;0.1121997376282069
46.0;24.0;49.0;39.0;-7.0;-1.0;-12.0;-14.0;-0.08726646259971627;0.21193283774216887;0.7853981633974486;0.8851312635114104
16.0;16.0;35.0;39.0;-2.0;-4.0;-18.0;-17.0;0.04133674544197097;0.17912589691520753;0.4822620301563279;0.5373776907456225
22.0;40.0;42.0;4.0;-17.0;-17.0;-16.0;-20.0;-0.6080501910173791;-0.2280188216315171;0.3546959447601381;0.8360690126488968
48.0;26.0;47.0;32.0;-19.0;-7.0;-2.0;-20.0;-0.09239978392911152;0.6698984334860588;0.7160983254506148;0.7853981633974483
21.0;22.0;25.0;14.0;-3.0;-7.0;-17.0;-12.0;0.4487989505128278;0.5983986006837704;0.6731984257692416;1.159397288824805
12.0;2.0;7.0;2.0;-8.0;-12.0;-2.0;-8.0;-0.2617993877991494;0.13089969389957468;0.45814892864851153;0.7199483164476609
24.0;22.0;7.0;30.0;-2.0;-14.0;-8.0;-3.0;-0.10709974955419754;0.17849958259032905;0.5711986642890532;0.8924979129516457
32.0;28.0;13.0;47.0;-3.0;-6.0;-7.0;-13.0;-0.44505895925855415;-0.23561944901923465;0.287979326579064;0.5759586531581284
8.0;19.0;38.0;36.0;-6.0;-10.0;-12.0;-15.0;-0.0148188332716499;0.16300716598814968;0.1630071659881498;0.31119549870464946
32.0;33.0;42.0;48.0;-7.0;-20.0;-7.0;-20.0;0.4157990276810022;0.43889897366328;0.5774986495569474;0.6005985955392255
20.0;18.0;46.0;7.0;-9.0;-9.0;-19.0;-16.0;-0.7612320660621423;-0.5437371900443874;0.10874743800887743;0.3987406060325507
13.0;35.0;48.0;24.0;-6.0;-17.0;-12.0;-4.0;-0.6404015793856117;0.20541182735010177;0.20541182735010188;0.5920693847149995
32.0;45.0;23.0;5.0;-14.0;-20.0;-1.0;-16.0;-0.49540499537377514;-0.08458134067357137;0.08458134067357126;0.71289987139153
29.0;21.0;42.0;22.0;-9.0;-14.0;-6.0;-7.0;-0.16829960644231035;-0.14024967203525862;0.42074901610577586;0.5609986881410345
17.0;31.0;22.0;31.0;-2.0;-8.0;-7.0;-11.0;0.2617993877991496;0.3739991254273567;0.5983986006837703;0.7853981633974487
17.0;48.0;41.0;35.0;-20.0;-13.0;-7.0;-2.0;-0.09239978392911152;-0.06929983794683359;0.900897893308838;0.9239978392911157
