q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13;cheapest; 2nd;3rd;most expensive
17.0;2.0;10.0;24.0;-20.0;-2.0;-18.0;-11.0;-0.4283989982167898;0.03569991651806592;0.3212992486625925;1.1780972450961724
18.0;45.0;8.0;2.0;-1.0;-2.0;-18.0;-18.0;-0.5609986881410345;-0.3864657629416015;-0.2867326628276399;-0.1371330126566973
29.0;32.0;4.0;33.0;-19.0;-14.0;-17.0;-12.0;-0.21145335168392854;-0.06041524333826542;0.8156057850665805;0.9666438934122437
7.0;11.0;22.0;4.0;-20.0;-12.0;0.0;-20.0;-0.2991993003418849;-0.14959965017094223;0.22439947525641402;1.1219973762820692
48.0;9.0;5.0;41.0;-20.0;-2.0;-16.0;-20.0;-1.0163976232202272;-0.2771993517873347;-0.20789951384050098;1.039497569202505
8.0;37.0;5.0;17.0;-19.0;-5.0;-18.0;-12.0;-0.9256478354327069;-0.19634954084936207;-0.08414980322115517;0.42074901610577586
17.0;5.0;3.0;35.0;-20.0;-15.0;-3.0;-17.0;-0.642598497325185;-0.49979883125292157;0.014279966607226413;0.41411903160956365
17.0;10.0;45.0;12.0;-14.0;-7.0;-16.0;-6.0;-0.7081458850304863;-0.5536413282965621;-0.11587841755044326;0.11587841755044315
20.0;7.0;10.0;22.0;-16.0;-3.0;-16.0;0.0;-0.33069396353576774;0.20668372720985473;0.8267349088394192;1.2401023632591288
29.0;31.0;7.0;7.0;-16.0;-10.0;-10.0;-5.0;-0.08355299610611155;0.11697419454855607;0.1838165914334453;0.35092258364566836
44.0;7.0;49.0;15.0;-7.0;-20.0;-11.0;-8.0;-0.6715723426152095;-0.10244323870401517;0.03414774623467154;0.9675194766490303
44.0;38.0;9.0;41.0;0.0;-12.0;-19.0;0.0;-0.23686611277065883;0.3864657629416019;0.8851312635114104;1.0347309136823528
8.0;45.0;33.0;18.0;-4.0;-19.0;-11.0;-4.0;-0.7853981633974483;-0.04908738521234057;0.4908738521234052;0.6872233929727674
47.0;13.0;23.0;44.0;-19.0;-20.0;-15.0;-15.0;-0.4571720652612011;0.03516708194316953;0.2461695736021856;0.7150639995111099
11.0;4.0;7.0;43.0;-15.0;-10.0;-8.0;-14.0;-1.05622511629312;-1.05622511629312;-0.24374425760610463;0.05416539057913439
8.0;31.0;36.0;9.0;-8.0;-18.0;-13.0;-6.0;-0.8144869842640206;0.20362174606600492;0.26179938779914924;0.7853981633974481
18.0;34.0;3.0;4.0;-6.0;-11.0;-17.0;-16.0;-0.44659895565737273;-0.3233992437518906;-0.16939960387003805;-0.10779974791729707
17.0;29.0;24.0;22.0;-4.0;-19.0;-11.0;-17.0;0.1636246173744682;0.6217735460229797;0.7199483164476609;0.8835729338221292
48.0;7.0;23.0;40.0;-15.0;-14.0;-8.0;-9.0;-0.6856650632834864;-0.28673266282763965;0.16206628768518794;0.6108652381980154
18.0;49.0;23.0;19.0;-8.0;-8.0;-7.0;-3.0;-0.8956294845760375;-0.7853981633974483;0.09645240603126559;0.09645240603126559
47.0;44.0;26.0;31.0;-13.0;-9.0;-15.0;-3.0;0.17734797238006905;0.3040250955086896;0.5320439171402069;0.6080501910173794
3.0;31.0;39.0;22.0;-10.0;-8.0;-15.0;-4.0;-0.552687596464871;-0.11635528346628854;0.37815467126543806;0.552687596464871
13.0;17.0;29.0;24.0;-7.0;-9.0;-11.0;-12.0;0.09578026382895732;0.13409236936054014;0.36396500255003716;0.3639650025500373
7.0;35.0;21.0;8.0;-8.0;-2.0;-1.0;-7.0;-1.0045790462060384;-0.7488680162626832;-0.16438566210644245;0.5296871334540932
14.0;42.0;20.0;49.0;-10.0;-5.0;-7.0;-12.0;-0.8111489228531024;-0.012875379727827152;0.0643768986391351;0.6051428472078699
46.0;49.0;17.0;47.0;-12.0;-17.0;-4.0;-11.0;0.07139983303613173;0.33319922083528114;0.6663984416705622;0.8805979407789571
23.0;48.0;21.0;49.0;-13.0;-7.0;-11.0;-16.0;-0.4470728007031629;0.20541182735010177;0.3745745086972445;0.7612320660621421
29.0;36.0;44.0;1.0;0.0;-7.0;-2.0;-6.0;-1.0009976592320418;-0.7545982354210776;0.5389987395864841;0.6929983794683368
42.0;47.0;42.0;40.0;-11.0;-17.0;-15.0;-16.0;0.4908738521234053;0.6381360077604269;0.6872233929727675;0.7117670855789378
21.0;39.0;14.0;42.0;-19.0;-16.0;-19.0;-19.0;-0.47638904992959985;-0.012875379727827041;0.32188449319567536;0.708145885030486
29.0;48.0;14.0;47.0;-12.0;-13.0;-9.0;-10.0;-0.553641328296562;0.012875379727826819;0.2703829742843671;0.8368996823087561
27.0;29.0;12.0;31.0;-14.0;-4.0;-5.0;-8.0;-0.01745329251994321;0.3665191429188094;0.9250245035569948;0.9948376736367679
26.0;32.0;46.0;32.0;-4.0;-14.0;-20.0;-10.0;0.11899972172688589;0.3569991651806582;0.4521989425621671;0.6901983860159393
34.0;42.0;26.0;9.0;-16.0;-1.0;-18.0;-18.0;-0.07853981633974483;0.1570796326794896;0.2094395102393195;0.36651914291880905
17.0;22.0;29.0;28.0;-14.0;-11.0;-20.0;-14.0;0.5609986881410343;0.5930557560348075;0.6571698918223545;0.7212840276099011
28.0;42.0;18.0;7.0;-7.0;-11.0;-12.0;-13.0;-0.556918697681827;-0.21419949910839509;-0.12851969946503705;0.12851969946503683
47.0;20.0;41.0;18.0;-18.0;-8.0;-16.0;-6.0;-0.2779101193560201;0.03624914600295914;0.3262423140266323;0.6404015793856115
41.0;10.0;1.0;27.0;-6.0;-18.0;-13.0;-17.0;-0.9717638292883684;-0.38604316505976277;0.03993549983376854;0.41266683161560835
2.0;25.0;17.0;11.0;-14.0;-11.0;-9.0;-20.0;-0.1919862177193763;-0.08726646259971649;0.296705972839036;0.8901179185171081
43.0;22.0;18.0;49.0;-19.0;-18.0;-11.0;-18.0;-0.36959913571644615;-0.06929983794683348;0.18479956785822338;0.6698984334860593
45.0;20.0;28.0;32.0;-7.0;-7.0;-18.0;-19.0;-0.22089323345553247;-0.1472621556370216;0.6626797003665971;0.760854470791278
15.0;11.0;43.0;7.0;0.0;-7.0;-19.0;-17.0;-0.8867398619003448;-0.5320439171402069;-0.025335424625724134;0.557379341765931
39.0;9.0;26.0;46.0;-4.0;-10.0;-5.0;-15.0;-0.42488753101829185;-0.16737993646175153;0.3733860121069834;0.7338966444861399
30.0;14.0;5.0;30.0;0.0;-16.0;-18.0;-9.0;-0.5563236990731926;0.5563236990731923;0.5563236990731925;0.8508480103472355
40.0;17.0;10.0;41.0;-16.0;-8.0;-13.0;-18.0;-0.545785164394837;-0.013311833277922958;0.1464301660571513;1.0250111624000597
32.0;4.0;37.0;16.0;-16.0;-12.0;-4.0;-15.0;-0.7853981633974483;0.13336949944484977;0.16300716598814985;0.6372098306809488
20.0;25.0;6.0;21.0;-19.0;-8.0;-14.0;-20.0;-0.01745329251994343;0.3316125578789225;0.6457718232379019;0.890117918517108
11.0;37.0;32.0;12.0;-15.0;-6.0;-20.0;-12.0;-0.23424155750450226;0.06889457573661817;0.316915048388444;0.6476090119242115
3.0;27.0;23.0;39.0;-4.0;-8.0;-20.0;-1.0;-0.17305383261299714;0.03993549983376854;0.1464301660571513;0.9717638292883684
32.0;23.0;13.0;15.0;-11.0;-14.0;-20.0;-10.0;-0.06041524333826542;0.302076216691326;0.45311432503698923;0.4833219467061217
