q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13
0;5;6;48;-5;-17;-19;-12
8;6;7;15;0;-5;-20;-2
44;32;43;15;-2;-15;-7;-9
7;37;6;14;-11;-9;-15;-13
18;46;16;17;-5;-7;-13;-3
5;23;5;44;-9;0;-18;-15
17;42;22;4;-14;-2;0;-1
14;26;8;28;-9;-7;-9;-17
16;39;28;43;-14;-5;-15;-17
11;6;0;5;-12;-2;-10;-15
39;4;20;2;-20;-13;-9;-4
19;14;16;19;-15;-6;-8;-13
21;34;47;20;-18;-18;-16;-4
15;12;9;13;-20;-2;-14;-20
22;25;36;28;-8;-13;-14;-11
17;10;45;10;-17;-16;-4;-5
30;20;4;26;-1;-2;-10;-6
3;38;13;28;-12;-9;-16;-11
15;8;31;43;-5;-13;-14;-3
18;12;31;34;-3;-4;0;-5
24;48;44;35;-9;-15;-5;-11
38;14;6;9;-5;-6;-9;-5
20;11;19;9;-12;-3;-16;-9
45;14;16;8;-5;-16;-14;-3
1;10;31;36;-5;-20;-7;-4
27;49;44;39;-19;-8;-6;0
9;15;8;41;-12;-9;-17;-7
49;49;27;17;-19;-12;-8;-11
46;28;11;13;-1;-16;-4;-14
48;45;36;9;-15;-19;-3;-6
23;11;25;45;-20;-20;-12;-11
35;30;15;12;-17;-3;-3;-3
32;1;8;48;0;-16;-6;-1
25;4;25;20;-9;-12;-17;-9
22;45;34;3;-12;-13;-2;-20
47;8;5;9;0;-3;-13;-2
31;49;35;8;-11;-15;-4;-15
48;16;11;38;-1;-2;-1;-14
28;41;34;33;-17;-5;-4;-14
29;26;20;43;-18;-4;-4;-17
29;45;35;42;-13;-2;-7;-13
36;31;29;22;-15;-12;-3;-10
31;33;11;28;-9;-13;-16;-5
34;31;38;32;-11;-17;0;-19
29;10;14;19;-5;-5;-10;-14
10;22;7;19;-14;-3;-13;-16
14;34;11;8;-13;-11;-13;-17
49;40;35;34;-4;-8;-12;-6
3;18;27;19;-9;-8;-8;0
44;38;16;27;-11;-14;-9;-17
25;3;42;4;-3;-13;-6;-14
36;14;30;7;-16;-16;-20;-1
2;40;22;32;-7;-6;-16;-17
11;18;37;2;-3;-17;-4;-7
2;45;24;16;-16;-9;-18;-3
38;47;30;40;-12;-17;-12;-9
36;16;35;30;-15;-5;-20;-2
45;5;16;6;-5;-5;-13;-3
11;0;13;12;-20;-12;-9;-12
8;18;4;42;-5;-5;-12;0
40;33;33;0;-13;-6;0;-8
42;23;11;46;-4;-8;-18;-11
30;13;47;17;-19;-14;0;-20
22;24;31;21;-1;-15;-13;-4
34;37;25;21;-3;-9;-18;-11
29;7;18;2;-19;-5;-18;-4
19;31;5;39;-19;0;-7;-14
15;40;11;8;-13;-9;-19;-1
48;45;10;43;-17;-6;-6;-16
37;48;40;13;-12;-13;-5;-8
23;22;0;4;-15;-6;-20;0
11;8;41;4;-19;-15;-13;-9
48;39;5;17;-10;-1;-20;-17
28;5;0;35;-18;-15;-16;-17
47;36;49;47;-11;-20;-3;-1
18;3;4;47;-11;-10;-3;-19
24;3;35;18;-7;-15;-18;-2
24;20;36;2;-1;-16;-11;-13
47;28;6;28;-15;-9;-9;-1
25;24;38;14;-3;0;-9;-4
24;18;41;34;-6;-20;-17;-13
23;3;4;40;-6;-7;-10;-7
42;8;0;28;-6;-17;-9;-13
31;25;38;0;-12;-4;-12;-4
49;48;7;33;-6;-3;-3;-5
8;25;1;36;-13;-3;-14;-6
41;3;23;35;-16;-4;-17;-1
16;30;24;18;-4;-7;-18;-17
47;36;10;4;-4;-9;-9;-5
40;23;0;29;-20;-12;-12;-20
11;46;3;28;0;-3;-3;-6
15;4;15;7;-4;-13;-4;-13
24;27;15;25;-15;-10;-18;-13
30;27;9;24;-17;-4;-19;-3
1;20;13;34;0;-13;-11;-15
