q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13
17;10;3;16;-4;-7;-6;-11
38;36;7;25;-1;-12;-13;-5
8;49;48;27;-11;-2;-15;-6
27;32;17;13;-13;-7;-13;-17
19;18;16;19;-17;-15;-14;-17
16;5;20;6;-8;-13;-16;-2
44;2;37;45;-9;-12;-4;-8
21;19;33;26;-16;-18;-13;-18
7;33;30;21;-18;-19;-8;-1
42;1;33;20;-10;-2;-3;-14
37;13;22;17;-15;-10;-11;-9
36;8;15;34;-19;-12;-16;-2
17;7;28;6;-1;-6;-15;-8
49;47;42;46;-1;-3;-10;-15
9;26;36;15;-1;-18;-18;-14
10;5;48;15;-3;-4;-20;-19
27;22;9;28;-6;-17;-9;-5
2;47;37;0;-18;-18;-19;-17
36;27;5;47;-14;-18;-12;-12
17;42;13;47;-7;-19;-18;-13
46;0;27;42;-4;-12;-19;-6
19;39;7;30;-13;-17;-18;-13
19;2;1;30;-11;-17;-14;-8
1;1;43;39;-2;-4;-14;-5
24;46;10;10;-4;-17;-20;-7
5;45;8;33;-8;-5;-12;-9
1;47;13;48;-15;-14;-9;-4
46;39;38;14;-19;-3;-16;-15
17;6;16;12;-13;-13;-19;0
31;12;2;1;-2;-8;-8;-14
27;25;47;12;-10;-9;-3;-11
14;27;13;14;-11;-4;-11;-1
4;2;4;30;-8;-15;-1;-5
13;2;39;35;-5;-9;-3;-11
49;44;7;32;-1;-20;-15;-5
11;12;5;2;-7;-16;-7;-3
23;10;38;16;-14;-19;-8;-19
12;39;0;24;-6;-19;-13;-19
42;9;44;42;-15;-4;-3;-1
24;49;17;21;-14;-4;-18;-1
34;20;43;37;-18;-10;-14;-3
41;26;9;23;-17;-6;-16;-1
24;4;39;45;-10;-14;-10;-18
48;16;8;1;-2;-17;-20;-4
3;20;46;18;-19;-3;-8;-8
42;18;32;34;-15;-9;-18;-15
35;24;41;18;-7;-20;-10;-2
12;9;34;10;-10;-8;-13;-14
7;36;8;13;-9;-14;-5;-13
12;11;35;3;-17;-9;-3;-11
11;4;15;12;-9;-19;-19;-16
31;36;15;14;-11;-8;-4;-17
19;30;25;32;-5;-9;-6;-2
37;34;11;19;-17;-13;-17;-15
37;25;2;6;-14;-13;-7;-10
45;47;43;48;-7;-17;-10;-12
6;18;17;35;-13;-6;-17;-9
17;40;38;28;-5;-20;-7;-13
11;35;26;11;-14;-13;-19;-8
13;49;4;13;0;-16;-8;-20
37;1;1;12;-4;-13;-16;-8
17;24;11;39;-12;-7;-15;-8
9;41;35;14;-14;-13;-19;-12
30;45;27;5;-13;-1;-8;-8
40;13;34;16;-11;-18;-10;-8
15;15;0;13;-18;-7;-17;-2
28;22;49;19;-3;-9;-2;-7
37;12;25;11;-17;-12;-11;-13
30;42;47;46;-9;-18;0;-14
7;39;42;32;-17;-5;-15;-20
10;15;39;23;-5;-16;-20;-13
44;20;37;46;-3;-15;-17;-2
12;0;5;23;-1;-14;-4;-12
35;3;28;0;-17;-2;-10;-6
20;19;30;25;-11;-18;-9;-8
19;32;38;13;-9;-11;-5;-16
20;49;23;39;-1;-18;-19;-8
42;3;25;35;-10;-16;-4;-10
21;30;33;14;-5;-6;-18;-10
9;26;19;28;-6;-16;-14;-7
40;9;4;17;-8;0;-5;-5
40;41;26;0;-1;-7;-9;-7
37;41;31;24;-18;-7;-18;-20
47;44;36;17;-6;-7;-3;-2
37;45;30;3;-4;-7;-2;-11
37;16;40;19;0;-4;-10;-11
46;28;23;22;-17;-15;-8;-7
11;38;36;20;-18;-19;-10;-11
33;38;20;1;-13;-3;-15;0
33;7;49;11;-2;-10;-1;-12
11;9;32;30;-18;-11;-1;-1
23;19;8;33;-3;-1;-11;-11
17;41;44;42;-3;-20;-13;-19
12;37;47;27;-12;-17;-8;-4
