q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13
3;26;23;11;-12;-2;-14;-17
48;8;11;1;-17;-8;-8;-2
32;3;15;45;-6;-13;0;-2
22;10;5;13;-15;-17;-6;-6
34;17;21;32;-10;-11;-18;-2
4;17;16;35;0;-19;-16;-12
33;43;42;40;-3;-14;-14;-3
36;40;30;49;-9;-9;-16;-3
41;19;3;38;-17;-3;-20;-12
41;30;14;5;-15;-13;-4;-2
40;12;16;7;-9;-10;-7;-14
41;20;47;4;-12;-15;0;-17
36;49;16;44;-14;-7;-13;-8
44;38;24;1;-11;-18;-16;-20
12;19;38;12;-12;-11;-12;-19
48;39;49;21;-8;-15;-8;-2
40;1;20;42;-14;-9;-19;-10
2;47;31;6;-1;-8;-20;-13
7;23;48;6;-10;-19;-13;-6
6;48;35;28;-1;-1;-9;-16
47;2;33;23;-18;-7;-18;-15
48;30;2;29;-10;-19;-7;-18
2;20;4;34;-8;-15;-11;-14
37;12;33;7;-7;-11;-3;-7
47;44;46;5;-15;-6;-16;-16
14;13;45;21;-7;-8;-16;-7
37;34;41;1;-12;-8;-14;-3
7;12;28;23;-8;-9;-9;-9
27;48;15;24;-8;-18;-9;-17
10;22;5;16;-4;-18;-3;-19
49;49;5;39;-13;-12;-13;-18
45;45;34;25;-17;-10;-1;-3
46;26;21;39;-8;-7;-13;-16
43;31;14;43;-8;-6;-17;-16
39;45;39;37;-10;-2;-10;-3
38;3;32;11;-19;-4;-14;-13
24;37;36;11;-11;-16;-6;-5
0;42;7;25;-11;-13;-11;-11
49;44;32;47;-18;-5;-14;-10
37;26;38;18;-5;-3;-12;-10
20;26;10;43;-18;-3;0;-18
28;18;4;6;-15;-18;-19;-9
25;29;43;10;-17;-19;-13;-16
38;6;35;19;-15;-7;-4;-16
19;1;27;0;-15;-9;-8;-13
5;25;47;19;-15;-20;0;-8
30;49;20;36;0;-20;-13;-12
47;30;38;41;-3;-5;-14;-18
28;20;25;6;-9;-13;-11;-10
24;18;18;37;-17;-14;-20;-7
17;43;8;31;-17;-4;-14;-1
6;29;16;41;-1;-6;-5;-19
