q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13;cheapest; 2nd;3rd;most expensive
18.0;24.0;3.0;16.0;-9.0;-13.0;-14.0;-5.0;-0.12401023632591301;-0.08267349088394205;0.2480204726518257;0.8267349088394191
14.0;31.0;4.0;47.0;-11.0;-12.0;-7.0;-15.0;-1.0387524096546896;-0.5067084925144828;0.025335424625724134;0.38003136938586213
9.0;31.0;3.0;27.0;-13.0;-12.0;-7.0;-19.0;-0.5969026041820605;0.18849555921538785;0.2827433388230816;0.6597344572538568
1.0;9.0;38.0;4.0;-1.0;-12.0;-12.0;-3.0;-1.4451326206513047;-0.9110618695410398;-0.12566370614359146;-0.03141592653589764
19.0;28.0;28.0;42.0;-11.0;-6.0;-3.0;0.0;-0.31119549870464924;0.1926448325314497;0.25192016561804964;0.6964851637675489
30.0;42.0;39.0;29.0;-16.0;-5.0;0.0;-2.0;0.3791577340539407;0.4062404293435078;0.8124808586870154;1.1374732021618217
34.0;49.0;41.0;39.0;-13.0;-18.0;-1.0;-16.0;0.19928013101129294;0.36339318007941657;0.5978403930338786;0.9964006550564641
39.0;34.0;16.0;29.0;-14.0;-13.0;-16.0;-20.0;0.1464301660571512;0.3327958319480713;0.38604316505976266;0.7055271637299113
44.0;16.0;35.0;9.0;-19.0;-8.0;-18.0;-19.0;-0.7853981633974482;-0.11219973762820667;0.18699956271367846;0.5609986881410347
22.0;35.0;43.0;27.0;-4.0;0.0;-11.0;-16.0;0.1464301660571512;0.22630116572468845;0.5457851643948369;0.705527163729911
6.0;29.0;9.0;19.0;-5.0;-12.0;-17.0;-17.0;-0.2731819698773734;-0.17073873117335836;0.10244323870401495;0.44392070105073156
14.0;20.0;11.0;10.0;-14.0;-10.0;-17.0;-6.0;0.27595070605856276;0.40331257039328405;0.40331257039328416;0.8278521181756886
39.0;44.0;10.0;16.0;-20.0;-2.0;0.0;-3.0;-0.1718058482431919;0.41724277430489437;0.4417864669110646;0.5154175447295753
48.0;47.0;5.0;34.0;-5.0;-1.0;-8.0;-5.0;-0.4487989505128276;-0.3365992128846207;0.4487989505128276;0.5890486225480862
20.0;21.0;5.0;22.0;-10.0;-9.0;0.0;-15.0;0.191042796502082;0.658036299062727;0.7429442086192077;0.9552139825104099
36.0;44.0;25.0;39.0;-7.0;-15.0;-8.0;-13.0;0.2795484988363798;0.43929049817145405;0.46591416472729985;0.7055271637299112
13.0;33.0;23.0;37.0;-10.0;0.0;-1.0;-2.0;-0.48460737741544674;0.3175013852032239;0.4846073774154469;0.9190829571672269
48.0;21.0;45.0;8.0;-19.0;-18.0;-2.0;-7.0;-0.5040615078520936;-0.1289459671249541;0.4806167865566476;0.7150639995111097
33.0;26.0;33.0;8.0;-4.0;-3.0;-3.0;-18.0;-0.20019953184640848;0.477398883633743;1.0317975872084124;1.2165971550666357
25.0;8.0;8.0;9.0;-18.0;-18.0;-18.0;-19.0;-0.39269908169872403;-0.3926990816987239;0.2141994991083952;0.249899415626461
47.0;21.0;22.0;44.0;-9.0;-13.0;-16.0;-8.0;-0.48619886305556304;0.2617993877991497;0.3365992128846208;0.7853981633974485
46.0;6.0;28.0;0.0;-7.0;-3.0;-1.0;-3.0;-1.6448904931531465;-0.7557604968541485;-0.45938383142114914;0.2519201656180494
27.0;32.0;25.0;45.0;-16.0;-14.0;0.0;-13.0;-0.1931306959174054;0.34763525265132944;0.3733860121069835;0.5278905688409078
47.0;2.0;3.0;4.0;0.0;-13.0;-19.0;-16.0;-1.3327968833411243;-1.2375971059596156;-0.09519977738150898;0.19039955476301762
12.0;21.0;32.0;22.0;-18.0;-4.0;-5.0;-10.0;0.15707963267948988;0.2827433388230816;0.3769911184307754;0.8482300164692443
46.0;6.0;34.0;4.0;-2.0;-16.0;-2.0;-1.0;-0.9120752865260691;-0.2786896708829656;-0.177347972380069;0.8360690126488965
19.0;9.0;6.0;15.0;-6.0;0.0;-17.0;-9.0;-0.21816615649929139;0.5235987755982987;0.6981317007977315;1.3526301702956052
11.0;37.0;44.0;43.0;-14.0;-10.0;-3.0;-5.0;-0.10833078115826877;-0.027082695289567305;0.8124808586870154;0.893728944555717
