device,dataset,dataset_id,circuit,optimizer,score
quantum simulator,adhoc,33,q_circuit_01,COBYLA,0.515
quantum simulator,adhoc,33,q_circuit_01,COBYLA,0.515
quantum simulator,adhoc,33,q_circuit_01,COBYLA,0.515
quantum simulator,adhoc,33,q_circuit_01,COBYLA,0.515
quantum simulator,adhoc,33,q_circuit_01,COBYLA,0.515
quantum simulator,adhoc,33,q_circuit_01,COBYLA,0.515
quantum simulator,adhoc,33,q_circuit_01,COBYLA,0.515
quantum simulator,adhoc,33,q_circuit_01,COBYLA,0.515
quantum simulator,adhoc,33,q_circuit_01,COBYLA,0.515
quantum simulator,adhoc,33,q_circuit_01,COBYLA,0.515
quantum computer,adhoc,33,q_circuit_01,COBYLA,0.515
quantum computer,adhoc,33,q_circuit_01,COBYLA,0.515
quantum computer,adhoc,33,q_circuit_01,COBYLA,0.515
quantum computer,adhoc,33,q_circuit_01,COBYLA,0.515
quantum computer,adhoc,33,q_circuit_01,COBYLA,0.515
quantum computer,adhoc,33,q_circuit_01,COBYLA,0.515
quantum computer,adhoc,33,q_circuit_01,COBYLA,0.515
quantum computer,adhoc,33,q_circuit_01,COBYLA,0.515
quantum computer,adhoc,33,q_circuit_01,COBYLA,0.515
quantum computer,adhoc,33,q_circuit_01,COBYLA,0.515
quantum simulator,adhoc,34,q_circuit_01,SPSA,0.515
quantum simulator,adhoc,34,q_circuit_01,SPSA,0.515
quantum simulator,adhoc,34,q_circuit_01,SPSA,0.511
quantum simulator,adhoc,34,q_circuit_01,SPSA,0.525
quantum simulator,adhoc,34,q_circuit_01,SPSA,0.525
quantum simulator,adhoc,34,q_circuit_01,SPSA,0.53
quantum simulator,adhoc,34,q_circuit_01,SPSA,0.515
quantum simulator,adhoc,34,q_circuit_01,SPSA,0.52
quantum simulator,adhoc,34,q_circuit_01,SPSA,0.525
quantum simulator,adhoc,34,q_circuit_01,SPSA,0.52
quantum computer,adhoc,34,q_circuit_01,SPSA,0.59
quantum computer,adhoc,34,q_circuit_01,SPSA,0.55
quantum computer,adhoc,34,q_circuit_01,SPSA,0.56
quantum computer,adhoc,34,q_circuit_01,SPSA,0.585
quantum computer,adhoc,34,q_circuit_01,SPSA,0.565
quantum computer,adhoc,34,q_circuit_01,SPSA,0.57
quantum computer,adhoc,34,q_circuit_01,SPSA,0.565
quantum computer,adhoc,34,q_circuit_01,SPSA,0.575
quantum computer,adhoc,34,q_circuit_01,SPSA,0.555
quantum computer,adhoc,34,q_circuit_01,SPSA,0.545
quantum simulator,adhoc,35,q_circuit_01,BFGS,0.5
quantum simulator,adhoc,35,q_circuit_01,BFGS,0.5
quantum simulator,adhoc,35,q_circuit_01,BFGS,0.5
quantum simulator,adhoc,35,q_circuit_01,BFGS,0.5
quantum simulator,adhoc,35,q_circuit_01,BFGS,0.5
quantum simulator,adhoc,35,q_circuit_01,BFGS,0.5
quantum simulator,adhoc,35,q_circuit_01,BFGS,0.505
quantum simulator,adhoc,35,q_circuit_01,BFGS,0.5
quantum simulator,adhoc,35,q_circuit_01,BFGS,0.5
quantum simulator,adhoc,35,q_circuit_01,BFGS,0.5
quantum computer,adhoc,35,q_circuit_01,BFGS,0.505
quantum computer,adhoc,35,q_circuit_01,BFGS,0.5
quantum computer,adhoc,35,q_circuit_01,BFGS,0.515
quantum computer,adhoc,35,q_circuit_01,BFGS,0.495
quantum computer,adhoc,35,q_circuit_01,BFGS,0.5
quantum computer,adhoc,35,q_circuit_01,BFGS,0.495
quantum computer,adhoc,35,q_circuit_01,BFGS,0.49
quantum computer,adhoc,35,q_circuit_01,BFGS,0.49
quantum computer,adhoc,35,q_circuit_01,BFGS,0.51
quantum computer,adhoc,35,q_circuit_01,BFGS,0.51
quantum simulator,adhoc,34,q_circuit_02,COBYLA,0.52
quantum simulator,adhoc,34,q_circuit_02,COBYLA,0.52
quantum simulator,adhoc,34,q_circuit_02,COBYLA,0.525
quantum simulator,adhoc,34,q_circuit_02,COBYLA,0.52
quantum simulator,adhoc,34,q_circuit_02,COBYLA,0.515
quantum simulator,adhoc,34,q_circuit_02,COBYLA,0.52
quantum simulator,adhoc,34,q_circuit_02,COBYLA,0.51
quantum simulator,adhoc,34,q_circuit_02,COBYLA,0.515
quantum simulator,adhoc,34,q_circuit_02,COBYLA,0.52
quantum simulator,adhoc,34,q_circuit_02,COBYLA,0.515
quantum computer,adhoc,34,q_circuit_02,COBYLA,0.495
quantum computer,adhoc,34,q_circuit_02,COBYLA,0.47
quantum computer,adhoc,34,q_circuit_02,COBYLA,0.485
quantum computer,adhoc,34,q_circuit_02,COBYLA,0.485
quantum computer,adhoc,34,q_circuit_02,COBYLA,0.47
quantum computer,adhoc,34,q_circuit_02,COBYLA,0.485
quantum computer,adhoc,34,q_circuit_02,COBYLA,0.51
quantum computer,adhoc,34,q_circuit_02,COBYLA,0.485
quantum computer,adhoc,34,q_circuit_02,COBYLA,0.485
quantum computer,adhoc,34,q_circuit_02,COBYLA,0.495
quantum simulator,adhoc,30,q_circuit_02,SPSA,0.54
quantum simulator,adhoc,30,q_circuit_02,SPSA,0.545
quantum simulator,adhoc,30,q_circuit_02,SPSA,0.545
quantum simulator,adhoc,30,q_circuit_02,SPSA,0.545
quantum simulator,adhoc,30,q_circuit_02,SPSA,0.555
quantum simulator,adhoc,30,q_circuit_02,SPSA,0.54
quantum simulator,adhoc,30,q_circuit_02,SPSA,0.545
quantum simulator,adhoc,30,q_circuit_02,SPSA,0.535
quantum simulator,adhoc,30,q_circuit_02,SPSA,0.55
quantum simulator,adhoc,30,q_circuit_02,SPSA,0.55
quantum computer,adhoc,30,q_circuit_02,SPSA,0.48
quantum computer,adhoc,30,q_circuit_02,SPSA,0.5
quantum computer,adhoc,30,q_circuit_02,SPSA,0.49
quantum computer,adhoc,30,q_circuit_02,SPSA,0.485
quantum computer,adhoc,30,q_circuit_02,SPSA,0.48
quantum computer,adhoc,30,q_circuit_02,SPSA,0.485
quantum computer,adhoc,30,q_circuit_02,SPSA,0.48
quantum computer,adhoc,30,q_circuit_02,SPSA,0.485
quantum computer,adhoc,30,q_circuit_02,SPSA,0.49
quantum computer,adhoc,30,q_circuit_02,SPSA,0.495
quantum simulator,adhoc,36,q_circuit_02,BFGS,0.515
quantum simulator,adhoc,36,q_circuit_02,BFGS,0.515
quantum simulator,adhoc,36,q_circuit_02,BFGS,0.515
quantum simulator,adhoc,36,q_circuit_02,BFGS,0.515
quantum simulator,adhoc,36,q_circuit_02,BFGS,0.515
quantum simulator,adhoc,36,q_circuit_02,BFGS,0.515
quantum simulator,adhoc,36,q_circuit_02,BFGS,0.515
quantum simulator,adhoc,36,q_circuit_02,BFGS,0.515
quantum simulator,adhoc,36,q_circuit_02,BFGS,0.515
quantum simulator,adhoc,36,q_circuit_02,BFGS,0.515
quantum computer,adhoc,36,q_circuit_02,BFGS,0.515
quantum computer,adhoc,36,q_circuit_02,BFGS,0.52
quantum computer,adhoc,36,q_circuit_02,BFGS,0.515
quantum computer,adhoc,36,q_circuit_02,BFGS,0.515
quantum computer,adhoc,36,q_circuit_02,BFGS,0.515
quantum computer,adhoc,36,q_circuit_02,BFGS,0.515
quantum computer,adhoc,36,q_circuit_02,BFGS,0.515
quantum computer,adhoc,36,q_circuit_02,BFGS,0.515
quantum computer,adhoc,36,q_circuit_02,BFGS,0.515
quantum computer,adhoc,36,q_circuit_02,BFGS,0.515
quantum simulator,adhoc,35,q_circuit_03,COBYLA,0.5
quantum simulator,adhoc,35,q_circuit_03,COBYLA,0.5
quantum simulator,adhoc,35,q_circuit_03,COBYLA,0.5
quantum simulator,adhoc,35,q_circuit_03,COBYLA,0.5
quantum simulator,adhoc,35,q_circuit_03,COBYLA,0.495
quantum simulator,adhoc,35,q_circuit_03,COBYLA,0.5
quantum simulator,adhoc,35,q_circuit_03,COBYLA,0.5
quantum simulator,adhoc,35,q_circuit_03,COBYLA,0.495
quantum simulator,adhoc,35,q_circuit_03,COBYLA,0.5
quantum simulator,adhoc,35,q_circuit_03,COBYLA,0.495
quantum computer,adhoc,35,q_circuit_03,COBYLA,0.5
quantum computer,adhoc,35,q_circuit_03,COBYLA,0.5
quantum computer,adhoc,35,q_circuit_03,COBYLA,0.5
quantum computer,adhoc,35,q_circuit_03,COBYLA,0.5
quantum computer,adhoc,35,q_circuit_03,COBYLA,0.5
quantum computer,adhoc,35,q_circuit_03,COBYLA,0.5
quantum computer,adhoc,35,q_circuit_03,COBYLA,0.5
quantum computer,adhoc,35,q_circuit_03,COBYLA,0.5
quantum computer,adhoc,35,q_circuit_03,COBYLA,0.5
quantum computer,adhoc,35,q_circuit_03,COBYLA,0.5
quantum simulator,adhoc,32,q_circuit_03,SPSA,0.535
quantum simulator,adhoc,32,q_circuit_03,SPSA,0.535
quantum simulator,adhoc,32,q_circuit_03,SPSA,0.535
quantum simulator,adhoc,32,q_circuit_03,SPSA,0.535
quantum simulator,adhoc,32,q_circuit_03,SPSA,0.535
quantum simulator,adhoc,32,q_circuit_03,SPSA,0.535
quantum simulator,adhoc,32,q_circuit_03,SPSA,0.54
quantum simulator,adhoc,32,q_circuit_03,SPSA,0.535
quantum simulator,adhoc,32,q_circuit_03,SPSA,0.53
quantum simulator,adhoc,32,q_circuit_03,SPSA,0.535
quantum computer,adhoc,32,q_circuit_03,SPSA,0.48
quantum computer,adhoc,32,q_circuit_03,SPSA,0.495
quantum computer,adhoc,32,q_circuit_03,SPSA,0.495
